interacting_pair,sender_cell_type,receiver_cell_type,eligible_datasets,supporting_datasets,rank_sum,ligand_deg,receptor_deg,datasets,prevalence,activity,time,cluster,activity_cluster_0,eligible_cluster_0,activity_cluster_2,eligible_cluster_2,testable_other_clusters,max_other_activity,specificity
PTPRC_CD22,Monocyte classical,B cell,2,2.0,1.7355920314253648,False,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.8677960157126824,I-II,1,0.10655388114870629,8,0.0,4.0,2,0.10655388114870629,0.7612421345639762
APP_CD74,B cell,cDC2,2,2.0,1.9758627946127945,False,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.9879313973063972,I-II,1,0.2427978706236974,8,0.0,4.0,2,0.2427978706236974,0.7451335266826998
PTPRC_CD22,T cell CD4 dividing,Macrophage alveolar,2,2.0,1.6927258698092031,True,False,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.8463629349046016,I-II,1,0.10390348917502742,7,0.0,3.0,2,0.10390348917502742,0.7424594457295741
CD52_SIGLEC10,B cell,B cell,2,2.0,1.6540333894500563,True,False,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.8270166947250281,I-II,1,0.09402544782485073,8,0.0,4.0,2,0.09402544782485073,0.7329912469001774
APP_CD74,B cell,myeloid dividing,2,2.0,1.940165544332211,False,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.9700827721661055,I-II,1,0.23909893376667765,8,0.0,2.0,2,0.23909893376667765,0.7309838383994278
APP_CD74,B cell,Macrophage,2,2.0,1.930969416386083,False,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.9654847081930416,I-II,1,0.23839779199407699,8,0.0,4.0,2,0.23839779199407699,0.7270869161989646
PLAU_PLAUR,Mast cell,Monocyte classical,2,2.0,1.6067375140291806,False,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.8033687570145903,I-II,1,0.07801393232868922,8,0.0,4.0,2,0.07801393232868922,0.7253548246859011
PTPRC_CD22,T cell regulatory,myeloid dividing,2,2.0,1.7613285634118967,True,False,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.8806642817059483,I-II,1,0.16252605549921934,8,0.0,2.0,2,0.16252605549921934,0.7181382262067291
CD44_TYROBP,Macrophage alveolar,Plasma cell,2,2.0,1.4248597081930416,True,False,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.7124298540965208,I-II,1,0.0,7,0.0,4.0,2,0.0,0.7124298540965208
PTPRC_CD22,Macrophage alveolar,B cell,2,2.0,1.6260732323232323,True,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.8130366161616162,I-II,1,0.10565010764044032,7,0.0,4.0,2,0.10565010764044032,0.7073865085211758
CD44_TYROBP,T cell CD4,Mast cell,2,2.0,1.8572039842873176,False,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.9286019921436588,I-II,1,0.22299791968364846,8,0.0,4.0,2,0.22299791968364846,0.7056040724600103
CD44_TYROBP,T cell CD4 dividing,Mast cell,2,2.0,1.845142396184063,True,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.9225711980920315,I-II,1,0.21708587840426768,8,0.0,3.0,2,0.21708587840426768,0.7054853196877637
CD44_TYROBP,T cell regulatory,Mast cell,2,2.0,1.8472222222222223,False,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.9236111111111112,I-II,1,0.22526060572199658,8,0.0,4.0,2,0.22526060572199658,0.6983505053891146
CD44_TYROBP,T cell CD8 effector memory,Mast cell,2,2.0,1.8440867003367003,False,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.9220433501683502,I-II,1,0.22409044214424792,8,0.0,4.0,2,0.22409044214424792,0.6979529080241023
PTPRC_CD22,Macrophage,B cell,2,2.0,1.5804538439955107,False,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.7902269219977553,I-II,1,0.09237276087574638,8,0.0,4.0,2,0.09237276087574638,0.6978541611220089
ANXA1_FPR2,Mast cell,myeloid dividing,2,2.0,1.7130225869809204,True,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.8565112934904602,I-II,1,0.17367205957451826,8,0.0,2.0,2,0.17367205957451826,0.6828392339159419
CD44_TYROBP,myeloid dividing,Plasma cell,2,2.0,1.3629980359147025,True,False,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.6814990179573512,I-II,1,0.0,7,0.0,2.0,2,0.0,0.6814990179573512
