interacting_pair,sender_cell_type,receiver_cell_type,eligible_datasets,supporting_datasets,rank_sum,ligand_deg,receptor_deg,datasets,prevalence,activity,time,cluster,activity_cluster_1,eligible_cluster_1,testable_other_clusters,max_other_activity,specificity
PDGFB_PDGFRA,Endothelial cell venous,Fibroblast peribronchial,5,4.0,1.3210123215214056,True,True,Hu_Zhang_2023_NSCLC;Kim_Lee_2020;Lambrechts_Thienpont_2018_6149v2;Maynard_Bivona_2020,0.8,0.2642024643042811,III-IV,0,0.0,3,1,0.0,0.2642024643042811
VEGFA_KDR,Monocyte classical,Endothelial cell venous,5,3.0,1.3103044731643874,True,True,Hu_Zhang_2023_NSCLC;Lambrechts_Thienpont_2018_6149v2;Maynard_Bivona_2020,0.6,0.26206089463287746,III-IV,0,0.0,5,1,0.0,0.26206089463287746
CCL5_CCR1,T cell CD8 activated,Macrophage,3,3.0,1.9622437134589676,True,True,Hu_Zhang_2023_NSCLC;Kim_Lee_2020;Zilionis_Klein_2019,1.0,0.6540812378196559,III-IV,0,0.39277517945182994,4,1,0.39277517945182994,0.26130605836782594
GJC1_GJA5,Pericyte,Endothelial cell venous,3,2.0,0.7730677893099732,True,False,Hu_Zhang_2023_NSCLC;Lambrechts_Thienpont_2018_6149v2,0.6666666666666666,0.2576892631033244,III-IV,0,0.0,2,1,0.0,0.2576892631033244
PVR_TIGIT,Endothelial cell venous,T cell CD8 dividing,4,4.0,1.030122409685954,True,True,Hu_Zhang_2023_NSCLC;Kim_Lee_2020;Lambrechts_Thienpont_2018_6149v2;Maynard_Bivona_2020,1.0,0.2575306024214885,III-IV,0,0.0,3,1,0.0,0.2575306024214885
CXCL16_CXCR6,cDC2,T cell NK-like,3,2.0,0.7712338667043563,True,False,Hu_Zhang_2023_NSCLC;Lambrechts_Thienpont_2018_6149v2,0.6666666666666666,0.2570779555681188,III-IV,0,0.0,4,1,0.0,0.2570779555681188
LTA_TNFRSF1B,T cell CD4 dividing,cDC2,2,2.0,0.8056181209879066,False,True,Hu_Zhang_2023_NSCLC;Maynard_Bivona_2020,1.0,0.4028090604939533,III-IV,0,0.14643745666625882,3,1,0.14643745666625882,0.2563716038276945
TNFSF10_TNFRSF10D,Endothelial cell venous,myeloid dividing,4,2.0,1.0227780598362415,True,False,Hu_Zhang_2023_NSCLC;Maynard_Bivona_2020,0.5,0.25569451495906037,III-IV,0,0.0,2,1,0.0,0.25569451495906037
CCL3_CCR1,T cell NK-like,myeloid dividing,3,2.0,0.7594218652287783,False,True,Hu_Zhang_2023_NSCLC;Kim_Lee_2020,0.6666666666666666,0.2531406217429261,III-IV,0,0.0,3,1,0.0,0.2531406217429261
LTA_TNFRSF1B,T cell CD4 dividing,Monocyte classical,2,2.0,1.2622612754463647,False,True,Hu_Zhang_2023_NSCLC;Maynard_Bivona_2020,1.0,0.6311306377231823,III-IV,0,0.3781052925099262,3,1,0.3781052925099262,0.25302534521325615
JAG1_NOTCH4,Endothelial cell venous,Endothelial cell venous,5,4.0,1.2568188459708307,True,True,Hu_Zhang_2023_NSCLC;Kim_Lee_2020;Lambrechts_Thienpont_2018_6149v2;Maynard_Bivona_2020,0.8,0.25136376919416614,III-IV,0,0.0,5,1,0.0,0.25136376919416614
CXCL16_CXCR6,Macrophage,T cell CD4 dividing,2,2.0,1.5437219288119188,True,True,Hu_Zhang_2023_NSCLC;Maynard_Bivona_2020,1.0,0.7718609644059594,III-IV,0,0.5205168168645592,3,1,0.5205168168645592,0.2513441475414002
TGM2_ADGRG1,Fibroblast peribronchial,T cell NK-like,3,2.0,0.7523596636932844,True,False,Hu_Zhang_2023_NSCLC;Kim_Lee_2020,0.6666666666666666,0.25078655456442817,III-IV,0,0.0,3,1,0.0,0.25078655456442817
CCL5_CCR1,T cell CD8 activated,cDC2,3,2.0,1.3530229469946131,True,False,Hu_Zhang_2023_NSCLC;Kim_Lee_2020,0.6666666666666666,0.4510076489982044,III-IV,0,0.20050839782644492,4,1,0.20050839782644492,0.2504992511717595
VEGFA_KDR,cDC2,Endothelial cell venous,5,3.0,1.2230477820145378,True,True,Hu_Zhang_2023_NSCLC;Kim_Lee_2020;Maynard_Bivona_2020,0.6,0.24460955640290755,III-IV,0,0.0,5,1,0.0,0.24460955640290755
CD44_TYROBP,myeloid dividing,Endothelial cell venous,4,2.0,0.9682372803919224,True,False,Hu_Zhang_2023_NSCLC;Kim_Lee_2020,0.5,0.2420593200979806,III-IV,0,0.0,2,1,0.0,0.2420593200979806
PLAU_PLAUR,myeloid dividing,Endothelial cell venous,4,3.0,0.9632184890180326,True,False,Hu_Zhang_2023_NSCLC;Kim_Lee_2020;Maynard_Bivona_2020,0.75,0.24080462225450816,III-IV,0,0.0,2,1,0.0,0.24080462225450816
CXCL14_CXCR4,T cell CD8 dividing,B cell,4,2.0,1.8468890804801412,False,True,Hu_Zhang_2023_NSCLC;Maynard_Bivona_2020,0.5,0.4617222701200353,III-IV,0,0.22136917503704923,4,1,0.22136917503704923,0.24035309508298608
NECTIN2_TIGIT,Endothelial cell venous,T cell NK-like,3,2.0,0.7200351433215799,True,False,Hu_Zhang_2023_NSCLC;Kim_Lee_2020,0.6666666666666666,0.24001171444052663,III-IV,0,0.0,3,1,0.0,0.24001171444052663
CD24_SELP,B cell,Endothelial cell venous,5,3.0,1.1863038198044455,True,True,Hu_Zhang_2023_NSCLC;Kim_Lee_2020;Maynard_Bivona_2020,0.6,0.2372607639608891,III-IV,0,0.0,5,1,0.0,0.2372607639608891
CXCL13_CXCR5,T cell CD4 dividing,B cell,2,2.0,1.2042035804165478,True,True,Hu_Zhang_2023_NSCLC;Maynard_Bivona_2020,1.0,0.6021017902082739,III-IV,0,0.36553215027892455,3,1,0.36553215027892455,0.23656963992934937
CD99_PILRA,T cell CD4 dividing,Monocyte classical,2,2.0,1.4826856500700454,True,True,Hu_Zhang_2023_NSCLC;Maynard_Bivona_2020,1.0,0.7413428250350227,III-IV,0,0.5048065182475727,3,1,0.5048065182475727,0.23653630678744997
VEGFA_NRP1,Fibroblast peribronchial,Endothelial cell venous,5,4.0,1.1772474346229813,True,True,Hu_Zhang_2023_NSCLC;Kim_Lee_2020;Lambrechts_Thienpont_2018_6149v2;Maynard_Bivona_2020,0.8,0.23544948692459627,III-IV,0,0.0,3,1,0.0,0.23544948692459627
PDGFB_PDGFR_complex,Endothelial cell venous,Fibroblast peribronchial,5,4.0,1.1743608014521638,True,False,Hu_Zhang_2023_NSCLC;Kim_Lee_2020;Lambrechts_Thienpont_2018_6149v2;Maynard_Bivona_2020,0.8,0.23487216029043276,III-IV,0,0.0,3,1,0.0,0.23487216029043276
PVR_CD96,Endothelial cell venous,T cell CD8 terminally exhausted,4,2.0,0.9380315527857066,True,True,Hu_Zhang_2023_NSCLC;Maynard_Bivona_2020,0.5,0.23450788819642665,III-IV,0,0.0,3,1,0.0,0.23450788819642665
EDN1_EDNRB,Endothelial cell venous,Pericyte,3,2.0,0.6992512535095139,True,True,Hu_Zhang_2023_NSCLC;Maynard_Bivona_2020,0.6666666666666666,0.23308375116983795,III-IV,0,0.0,2,1,0.0,0.23308375116983795
THBS1_CD36,Fibroblast peribronchial,Endothelial cell venous,5,3.0,1.1628579781378545,True,False,Hu_Zhang_2023_NSCLC;Lambrechts_Thienpont_2018_6149v2;Maynard_Bivona_2020,0.6,0.2325715956275709,III-IV,0,0.0,3,1,0.0,0.2325715956275709
PLAU_PLAUR,Endothelial cell venous,myeloid dividing,4,2.0,0.9223006683327253,False,True,Hu_Zhang_2023_NSCLC;Kim_Lee_2020,0.5,0.23057516708318132,III-IV,0,0.0,2,1,0.0,0.23057516708318132
PLAU_PLAUR,Macrophage,T cell CD4 dividing,2,2.0,0.6676058721212951,True,False,Hu_Zhang_2023_NSCLC;Maynard_Bivona_2020,1.0,0.33380293606064754,III-IV,0,0.10565275908479138,3,1,0.10565275908479138,0.22815017697585616
PODXL_SELL,Endothelial cell venous,T cell CD8 terminally exhausted,4,2.0,0.9041775001442147,True,False,Hu_Zhang_2023_NSCLC;Maynard_Bivona_2020,0.5,0.22604437503605368,III-IV,0,0.0,3,1,0.0,0.22604437503605368
CXCL16_CXCR6,myeloid dividing,T cell CD8 naive,4,2.0,0.8988443219140777,True,False,Hu_Zhang_2023_NSCLC;Maynard_Bivona_2020,0.5,0.22471108047851943,III-IV,0,0.0,2,1,0.0,0.22471108047851943
TGM2_ADGRG1,Fibroblast peribronchial,T cell CD8 terminally exhausted,4,2.0,0.8931894840959569,True,False,Hu_Zhang_2023_NSCLC;Maynard_Bivona_2020,0.5,0.22329737102398922,III-IV,0,0.0,3,1,0.0,0.22329737102398922
NECTIN2_TIGIT,Endothelial cell venous,T cell CD4,5,3.0,1.1163032679542035,True,False,Hu_Zhang_2023_NSCLC;Kim_Lee_2020;Maynard_Bivona_2020,0.6,0.2232606535908407,III-IV,0,0.0,5,1,0.0,0.2232606535908407
NECTIN2_TIGIT,Endothelial cell venous,NK cell,5,3.0,1.1150467666761514,True,False,Hu_Zhang_2023_NSCLC;Kim_Lee_2020;Maynard_Bivona_2020,0.6,0.22300935333523028,III-IV,0,0.0,4,1,0.0,0.22300935333523028
CXCL16_CXCR6,myeloid dividing,T cell CD4 dividing,2,2.0,1.3019875739056883,True,True,Hu_Zhang_2023_NSCLC;Maynard_Bivona_2020,1.0,0.6509937869528442,III-IV,0,0.42827173995323786,3,1,0.42827173995323786,0.2227220469996063
CXCL2_DPP4,Macrophage,T cell CD8 dividing,4,2.0,1.0987005821408689,True,False,Hu_Zhang_2023_NSCLC;Maynard_Bivona_2020,0.5,0.2746751455352172,III-IV,0,0.05275399308414293,4,1,0.05275399308414293,0.2219211524510743
THY1_integrin_aXb2_complex,Endothelial cell venous,Monocyte classical,5,5.0,1.0985653810390759,False,False,Hu_Zhang_2023_NSCLC;Kim_Lee_2020;Lambrechts_Thienpont_2018_6149v2;Maynard_Bivona_2020;Zilionis_Klein_2019,1.0,0.21971307620781516,III-IV,0,0.0,5,1,0.0,0.21971307620781516
CD226_NECTIN2,T cell CD8 dividing,Endothelial cell venous,4,3.0,0.8727279736274223,False,True,Hu_Zhang_2023_NSCLC;Kim_Lee_2020;Maynard_Bivona_2020,0.75,0.21818199340685557,III-IV,0,0.0,3,1,0.0,0.21818199340685557
