dataset,cell_type
Zilionis_Klein_2019,Macrophage alveolar
Zilionis_Klein_2019,Mast cell
Zilionis_Klein_2019,Monocyte classical
Zilionis_Klein_2019,NK cell
Zilionis_Klein_2019,Neutrophils
Zilionis_Klein_2019,Plasma cell
Zilionis_Klein_2019,T cell CD4
Zilionis_Klein_2019,T cell CD8 activated
Zilionis_Klein_2019,T cell CD8 effector memory
Zilionis_Klein_2019,T cell regulatory
Zilionis_Klein_2019,Tumor AT2_LUAD
Zilionis_Klein_2019,Tumor LUAD
Zilionis_Klein_2019,Tumor LUAD_AT2_Club
Zilionis_Klein_2019,Tumor LUAD_mitotic_LUSC
Zilionis_Klein_2019,Tumor LUSC_mitotic_LUAD
Zilionis_Klein_2019,cDC2
Zilionis_Klein_2019,pDC
