dataset,cell_type
Chen_Zhang_2020,AT2
Chen_Zhang_2020,AT2_AT1
Chen_Zhang_2020,B cell
Chen_Zhang_2020,B cell dividing
Chen_Zhang_2020,DC mature
Chen_Zhang_2020,Fibroblast peribronchial
Chen_Zhang_2020,Macrophage
Chen_Zhang_2020,Macrophage alveolar
Chen_Zhang_2020,Mast cell
Chen_Zhang_2020,Monocyte classical
Chen_Zhang_2020,NK cell
Chen_Zhang_2020,NK cell dividing
Chen_Zhang_2020,Plasma cell
Chen_Zhang_2020,Plasma cell dividing
Chen_Zhang_2020,T cell CD4
Chen_Zhang_2020,T cell CD4 dividing
Chen_Zhang_2020,T cell CD8 activated
Chen_Zhang_2020,T cell CD8 dividing
Chen_Zhang_2020,T cell CD8 effector memory
Chen_Zhang_2020,T cell CD8 naive
Chen_Zhang_2020,T cell CD8 terminally exhausted
Chen_Zhang_2020,T cell NK-like
Chen_Zhang_2020,T cell regulatory
Chen_Zhang_2020,Tumor AT2_LUAD
Chen_Zhang_2020,Tumor LUAD
Chen_Zhang_2020,Tumor LUAD_AT2_Club
Chen_Zhang_2020,Tumor LUAD_mitotic_LUSC
Chen_Zhang_2020,Tumor LUSC_LUAD_mitotic
Chen_Zhang_2020,cDC1
Chen_Zhang_2020,cDC2
Chen_Zhang_2020,myeloid dividing
Chen_Zhang_2020,pDC
Deng_Liu_LUAD_2024,AT2
Deng_Liu_LUAD_2024,B cell
Deng_Liu_LUAD_2024,B cell dividing
Deng_Liu_LUAD_2024,Ciliated
Deng_Liu_LUAD_2024,Club/AT2
Deng_Liu_LUAD_2024,DC mature
Deng_Liu_LUAD_2024,Endothelial cell lymphatic
Deng_Liu_LUAD_2024,Endothelial cell venous
Deng_Liu_LUAD_2024,Fibroblast adventitial
Deng_Liu_LUAD_2024,Fibroblast alveolar
Deng_Liu_LUAD_2024,Fibroblast peribronchial
Deng_Liu_LUAD_2024,Macrophage
Deng_Liu_LUAD_2024,Macrophage alveolar
Deng_Liu_LUAD_2024,Mast cell
Deng_Liu_LUAD_2024,Monocyte classical
Deng_Liu_LUAD_2024,NK cell
