types	P045	P044	BD_immune08	P046	P047	P049	P048	p033t
T cell CD4 dividing	62.0	115.0	47.0	55.0	71.0	49.0	62.0	18.0
T cell CD8 activated	1296.0	618.0	974.0	4192.0	1667.0	3151.0	495.0	875.0
T cell CD8 dividing	6.0	52.0	5.0	12.0	19.0	6.0	39.0	7.0
T cell CD8 effector memory	1549.0	1402.0	555.0	2418.0	1139.0	1435.0	1119.0	677.0
T cell CD8 terminally exhausted	44.0	338.0	6.0	85.0	92.0	285.0	293.0	14.0
T cell NK-like	0.0	0.0	16.0	2.0	0.0	49.0	3.0	3.0
T cell regulatory	855.0	1305.0	677.0	2412.0	1210.0	2128.0	1069.0	263.0
Tumor AT2/1_LUAD	50.0	67.0	204.0	10.0	4.0	130.0	49.0	173.0
Tumor Club/AT2_MSLN	96.0	4.0	3.0	29.0	9.0	16.0	4.0	9.0
Tumor LUAD_EMT	0.0	0.0	5.0	0.0	3.0	0.0	0.0	2.0
Tumor LUAD_MSLN_LUSC	31.0	189.0	0.0	19.0	34.0	14.0	116.0	147.0
Tumor LUAD_ROS1+	112.0	79.0	14.0	77.0	172.0	41.0	26.0	246.0
Tumor LUAD_mitotic	3.0	4.0	0.0	0.0	0.0	0.0	2.0	5.0
Tumor LUSC	2.0	11.0	0.0	9.0	6.0	5.0	3.0	0.0
Tumor LUSC_LUAD_NE	2.0	31.0	0.0	7.0	5.0	3.0	2.0	19.0
Tumor LUSC_mitotic_NE	0.0	40.0	3.0	0.0	6.0	0.0	8.0	5.0
Tumor NSCLC_mixed	0.0	0.0	0.0	2.0	0.0	0.0	2.0	400.0
cDC1	5.0	6.0	8.0	4.0	6.0	8.0	11.0	3.0
cDC2	213.0	111.0	52.0	37.0	60.0	59.0	67.0	43.0
myeloid dividing	54.0	6.0	96.0	10.0	51.0	9.0	6.0	29.0
pDC	10.0	59.0	17.0	28.0	23.0	28.0	46.0	11.0
stromal dividing	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
