cell_type,ADIPOGENESIS,ALLOGRAFT_REJECTION,ANDROGEN_RESPONSE,ANGIOGENESIS,APICAL_JUNCTION,APICAL_SURFACE,APOPTOSIS,BILE_ACID_METABOLISM,CHOLESTEROL_HOMEOSTASIS,COAGULATION,COMPLEMENT,DNA_REPAIR,E2F_TARGETS,EPITHELIAL_MESENCHYMAL_TRANSITION,ESTROGEN_RESPONSE_EARLY,ESTROGEN_RESPONSE_LATE,FATTY_ACID_METABOLISM,G2M_CHECKPOINT,GLYCOLYSIS,HEDGEHOG_SIGNALING,HEME_METABOLISM,HYPOXIA,IL2_STAT5_SIGNALING,IL6_JAK_STAT3_SIGNALING,INFLAMMATORY_RESPONSE,INTERFERON_ALPHA_RESPONSE,INTERFERON_GAMMA_RESPONSE,KRAS_SIGNALING_DN,KRAS_SIGNALING_UP,MITOTIC_SPINDLE,MTORC1_SIGNALING,MYC_TARGETS_V1,MYC_TARGETS_V2,MYOGENESIS,NOTCH_SIGNALING,OXIDATIVE_PHOSPHORYLATION,P53_PATHWAY,PANCREAS_BETA_CELLS,PEROXISOME,PI3K_AKT_MTOR_SIGNALING,PROTEIN_SECRETION,REACTIVE_OXYGEN_SPECIES_PATHWAY,SPERMATOGENESIS,TGF_BETA_SIGNALING,TNFA_SIGNALING_VIA_NFKB,UNFOLDED_PROTEIN_RESPONSE,UV_RESPONSE_DN,UV_RESPONSE_UP,WNT_BETA_CATENIN_SIGNALING,XENOBIOTIC_METABOLISM
AT1,1.1285719282091962,-1.0,1.101476161620176,1.0413609566259863,1.2060769772492144,0.9474242927184436,1.0830810613522253,1.2204223784413821,1.197347910972507,1.194089073989249,-1.0,0.6626854979987583,-1.0,1.0707161627285342,1.4548506866885937,1.338784064635728,1.1240976325980152,0.706202275556404,1.1527778713579715,1.33307239454393,1.206503094947438,1.1060554870030908,0.8860427764497889,-1.1376284066002698,-1.1185299223955796,-1.3113226849629664,-1.0,1.1092789278828552,-1.0,1.2843841725985945,0.7712823035906958,-1.0,-1.1314180102702875,1.2827128013262339,1.1714824155565695,-1.0,1.2271134656254385,-1.0676461626763083,1.2460188664957081,-1.0481671323187387,1.3068620407827711,0.737432073273484,0.9346207150364341,1.4443612561636812,0.8374702412562647,0.8102202422408475,1.4261256606803798,1.13278669159394,1.2114156202313462,1.1299413364295023
AT2_ROS1+,1.0836854961724776,-1.0,1.1956348763604425,0.9353274978827592,1.0513306241521827,0.9850696190978229,0.9720611220742095,1.2931740452529208,1.2392470375775577,1.116350802142435,-1.0,0.675853547896805,0.6710333899122071,0.8093995392846344,1.4270907926790706,1.2936382069429153,1.1960267397072317,0.8974484169272056,1.0897557254464019,1.1519864111044564,1.2059430759917973,0.9683506041214304,0.925394953345251,-1.2480047745125311,-1.244260436391868,-1.3853116245656394,-1.0,1.1852782435727638,0.8148338318498163,1.2398272672438662,0.8773436939500612,-1.4921742608268884,0.6413724717668502,1.1353156447649677,1.2742699732129672,-1.0,1.211518014760997,0.7646662026018981,1.2299170617541237,0.7607942668525466,1.265162941850508,0.6970018130964569,1.1985627978574271,1.3219903238643886,0.8518425427887912,0.8983471484191383,1.3917943211802846,1.144121800924978,1.2510174915919194,1.269163928675562
Ciliated,-1.156181538638854,-2.226399549181883,-1.3302648891077018,-1.032996047416936,-1.151446885675118,0.7662047857243299,-1.3945061503798515,1.1973988219437244,0.8450853389869906,-1.0510662255337742,-1.5715812743059274,-1.04471458184645,-1.3834346706587566,-1.5376807947436586,1.1781169389990953,1.0473603140618142,0.7182066887917959,-1.4380244144548928,0.869150780218626,-0.8078658798871645,0.8977469455872449,-1.4617657061354363,-1.4839899651804291,-1.6517665493289049,-1.726716696149357,-1.4131501183130937,-1.7990173968736751,1.0331940639554045,-1.45758745677888,0.8715714241174904,-1.7426195051045656,-2.158160400587913,-1.6058855682051651,0.9270334783940258,0.9982390261595696,-1.3195589103450396,-1.0,-1.41056249337594,1.0755247208075542,-1.5465960494405953,-1.0572890555242482,-0.9241757329022208,1.3089281589585793,-1.1916935083161375,-2.2487325660220003,-1.739587323163219,1.1007001292085843,-1.2788939807011614,0.7157385135475239,0.8990694402935079
Club_AT2_even_1,-0.7631584789587269,-1.3843299191154366,-1.0476295661491877,-1.1222417385422447,-0.9727873684091664,-1.0033438395719696,-1.1529779501283346,1.0,1.0841247734685924,1.2112268955307206,-1.0940163316661773,-0.9591028624906694,-1.2344334304594438,-1.0438022508063824,-0.7627978319439065,1.0,-0.6225527716154031,-1.3269116587212255,-0.7761971098825411,-1.1941099121216392,-1.0649839532427205,-1.135621788835345,-1.1763154741637003,-1.2951062540691443,-1.2803069840341343,-1.2300749562557243,-1.3608003447164876,-0.8891175491977429,-1.0549087574124998,-1.3365968522833995,-1.0543905073588669,-1.147938684097356,-1.06527120391833,-0.861490388143795,-1.0323503171217963,-0.6320232237542883,-0.8605338840034421,-0.8222548869315407,-0.6583537203158185,-1.2936167833136634,-1.104414333613391,-0.7871780378125917,-0.9935193879107879,-1.3615022306033342,-1.3984596725773624,-1.24131029649714,-1.2505124316341307,-0.8452211197272745,-1.2227143538272853,1.0
Club_AT2_even_2,-0.9412005770964388,-1.676704475137209,1.0466566284830143,0.8516032249212533,1.0047852461754805,0.756754638642334,-0.8677767404122536,1.1265990762837266,1.4906445264562103,1.1885946441046782,-1.193711792986012,-1.4942575739369772,-1.5285454506771268,0.9520392656107836,1.8698667030166616,1.6677672826223602,0.9562423268488836,-1.4019135799357887,1.1444601356658017,1.0536414899043012,-0.925607834220922,1.2279649395528187,-0.9301929221461663,-1.1093742949755923,-0.9989781377063345,-1.5176127722616841,-1.622998675526037,1.230593582436161,-0.9537385935185482,-1.0494781380262572,-1.118051416019062,-1.7468108894195455,-1.2611689899464393,1.0093186126679212,1.0967773302919464,-1.6475895066342934,1.162461630424272,-0.9791026268225868,1.0003839192436672,-1.249450101656405,-1.2690818145007272,-0.935038262024829,0.8498358994918117,0.9915172760161511,1.1867805802609204,-1.282143098972849,1.431766991066707,1.2040661742264949,-0.7134736799291136,1.3787275902507512
Club_AT2_high,-1.0279760557958706,-1.2103141925627012,-1.1061277016956341,-1.1314902764935015,-0.9592610187090252,-1.0090288571026131,-1.0512758662529045,-0.9308685570195802,-0.7195748262794965,-0.760363887591326,-1.135107560291379,-1.1187090439584166,-1.2012872655556064,-0.9099612025950533,-0.7064410226361084,-0.7697836183095327,-0.971925420095565,-1.2532456157739629,-0.8593615238412126,-1.052393650222757,-1.106702721176673,-0.9528897928495705,-1.0707410537172861,-1.1829870681056476,-1.1157421711539501,-1.1983525223885938,-1.2632945695124445,-0.8853917902293177,-1.014846072169364,-1.2791383527341977,-1.1536101055711745,-1.232771823901863,-0.9657724567229001,-0.9554108031592615,-1.0383364902707077,-1.0619015247744281,-0.8553478509983883,-1.013115154033735,-0.9947283264531983,-1.2342570542542837,-1.2648173359657258,-0.8585838342028438,-1.0965428702234343,-1.2443833920404266,-1.0200657916803926,-1.090535307835749,-1.2161181890706037,-0.795003005395393,-1.0970015944046352,-0.8589805360665209
Club_Ciliated,0.8409414396121156,-2.1133433071012657,1.3097063692405952,0.9116732669123718,1.0184501192450823,1.1796185962937726,-1.1228874288165123,1.2725371577982927,1.4452272946481242,1.2245700029635203,-1.1802013867783645,-1.4823561541401087,-1.651342510439776,-1.176621658990789,1.6993098244712983,1.6597947294641093,1.0137411526121287,-1.5197284983908637,1.28906020693075,1.1745416882889452,0.8919905947548208,1.1696307648742401,-1.1339952553405235,-1.1672793650476558,0.9281728486430639,-1.4059952480972904,-1.6781418942696384,1.5316282996768311,-1.1542763796189863,-1.0462639829325147,-1.307655776109187,-2.046802181810675,-0.9600900985170744,1.0185747879908866,1.2560327715289523,-1.6371199004665167,1.1084490108326615,-1.2850471151461127,1.2422900326505912,-1.5323232187393625,1.0437197470432984,-1.2490843364562896,0.9893048189788607,-0.9663714084530839,-1.110674278158429,-1.0009954165217358,1.3562673537212564,-0.886369468107959,0.9469031856909031,1.4204339048267178
Tumor LAUD_LUSC_AT2,1.1526000429770258,-1.0,1.2403946266795818,1.0051034999552821,1.0434516199345247,1.0706419712089177,1.0927755854582342,1.2081717039870827,1.1493746027324188,1.161401275241109,0.8542947080573574,1.0007535987844383,0.6852259968034005,0.8629471024416118,1.3100250805963503,1.2533391257029607,1.2151984476191493,0.7972120833333924,1.2737668466077703,1.252125705764036,1.1687608161184593,1.0820567112933572,0.8596153050841902,0.7112252365066731,0.7874760938256113,0.9443157176383781,0.8667077459289368,1.1140841079977728,0.8985370935980176,1.1922384187214634,0.9849137313393871,0.7744402412316075,0.8510384273414162,1.103635141283291,1.365097653448506,0.9611200114330141,1.2205579003960667,0.7616208189347765,1.1919788731538836,0.7750819333483533,1.2675785842445462,1.017154521509073,1.0220310138018647,1.1242463086243573,0.8962325455706169,1.0661037721887203,1.1665310547465821,1.1346860427313579,0.986738115675905,1.2171762979349035
Tumor LUAD_AT2_high,1.0848967645532497,-1.9688418138001362,1.0219305345750072,-0.8180426089677658,-1.2859317319418277,0.8724010199863711,-1.2082215362520439,1.2105828289240004,1.0254747521890422,-1.2965092257563966,-1.6806361965275893,-1.074114928393824,-1.3040969581871664,-1.3651466227588995,1.4339762453008247,1.4007876439208493,1.182654829636484,-1.1625640401028823,1.2894758718209054,0.8368526657858513,0.9996211599716198,1.0274079033623345,-1.2632902423342933,-1.4601924080706383,-1.694625860951042,-1.8961552699632809,-2.010489669189263,1.2201080880391608,-1.28831070063077,-1.1439787834265027,-1.1912862350509308,-1.3119841527390794,-1.2130159824463436,0.9746562050082338,0.8553917577297886,1.618504420712444,-1.0091751365094503,0.8144094724440721,1.344355861556019,-1.3760594987034254,1.1229835643290453,1.0207683227900197,1.2854264921046477,0.9460740502606716,-1.4313599328606974,-0.9646353964215686,-1.1091047388376016,1.0645436714228347,1.0561742698811272,0.955399105783513
Tumor LUAD_AT2_mitotic,1.3482984403351312,-1.423754214705562,-1.099287282819664,-1.2002672775019914,-1.2502255689427166,-1.2918305221241324,-1.0739598379402944,-0.8772787439816538,-0.8539838415458707,-0.7684877596906434,-1.2707218182299638,1.6581795239814208,-0.9279587728309021,-1.2603982963307507,-1.1068269625514755,-0.807892761628144,1.283390982313497,-1.3733708319659677,1.250293989039496,-1.3487576291556769,-1.1265520332817387,-1.065605347356936,-1.422458041885882,-1.5622708194996988,-1.5430882970517457,-1.1171698871142035,-1.3114531563239027,-1.2533077800399424,-1.329183216699071,-1.6087058185325362,-0.9693086259763337,1.9385051278589402,1.1961101771695262,-1.094139696019372,-0.8083339134561581,2.3117735128900345,-1.0290924716646666,1.1811270066373913,1.0554708501764896,-1.3621499968051016,-1.0594441613580314,1.4540782493102162,-1.2085073357379505,-1.5317246891214027,-1.6108982634657505,-0.9547379734909276,-1.5087650413811844,-1.0591964319927452,-1.2789772652850224,-0.7481841022657709
Tumor LUAD_LUSC,1.3816201778305932,-2.097897575736298,0.9132415784973154,0.8888551635703938,1.1521636632791168,1.1746532375998855,-1.0,1.2552087502953064,1.1590006369545933,0.8523560304616753,-1.4990056155999139,1.3001843925027248,-1.1431273331274785,-1.3835288521650297,1.3580189785318844,1.423392863663664,1.412544192468945,-1.1258013655265695,1.5677649850885347,0.9470908953704787,1.0696758382533238,1.0481210775398113,-1.433799010065575,-1.5480765560142964,-1.580639198602058,0.7446781253209749,-1.4363001993178066,1.2866359880692972,-1.448291433767985,-1.3847774765045557,1.21792746494351,1.6114810817375387,1.3456123758774508,0.9872250613174922,1.1249644700545418,1.9191635677570515,1.3114814561564752,0.9497392699973582,1.2928368024137233,0.9006249420408914,1.3053374207729844,1.5674028093429027,0.9818757416414934,-1.3162194756506354,-1.94985068592361,1.1013196338165423,-1.1501878075421814,1.0334867908878125,0.9068154487564168,1.4337152507905615
Tumor LUAD_LUSC_mitotic,-1.1297812499567104,-1.157371517921476,-1.1286210700984343,-1.0085825894188756,-1.0441260085751185,-0.9879071164577957,-1.1689368950979877,-1.0131199265505009,-1.0614119893552605,-1.0820416482054296,-1.1452146396770586,-1.172248833681797,-1.1168482600612757,-1.0086833262923791,-0.9710108838955288,-0.9313595182127148,-1.1391902383537853,-1.1651896313011683,-1.0020721559843209,-1.0429581339559046,-1.170311834228788,-1.1171425456448916,-1.1205810775342704,-1.1976013985090581,-1.1156630841144775,-1.1938091167526628,-1.2264135810324892,-0.8573349452787168,-1.0524230460621962,-1.2178744228933929,-1.10625535254478,-1.268378740980939,-1.0007745387404596,-1.0166010662021507,-1.0539937916974589,-1.2308048546198003,-1.1629000111387415,-1.1460980726741679,-1.1038490304677278,-1.2475160169691886,-1.2825994207803684,-0.9171438170485599,-0.9794561184200643,-1.2793132753577376,-1.2478030452789504,-1.1464489146827985,-1.2029806474112315,-1.1383851510699823,-1.0175240451575933,-0.959545178997261
