cell_type,ADIPOGENESIS,ALLOGRAFT_REJECTION,ANDROGEN_RESPONSE,ANGIOGENESIS,APICAL_JUNCTION,APICAL_SURFACE,APOPTOSIS,BILE_ACID_METABOLISM,CHOLESTEROL_HOMEOSTASIS,COAGULATION,COMPLEMENT,DNA_REPAIR,E2F_TARGETS,EPITHELIAL_MESENCHYMAL_TRANSITION,ESTROGEN_RESPONSE_EARLY,ESTROGEN_RESPONSE_LATE,FATTY_ACID_METABOLISM,G2M_CHECKPOINT,GLYCOLYSIS,HEME_METABOLISM,HYPOXIA,IL2_STAT5_SIGNALING,IL6_JAK_STAT3_SIGNALING,INFLAMMATORY_RESPONSE,INTERFERON_ALPHA_RESPONSE,INTERFERON_GAMMA_RESPONSE,KRAS_SIGNALING_DN,KRAS_SIGNALING_UP,MITOTIC_SPINDLE,MTORC1_SIGNALING,MYC_TARGETS_V1,MYC_TARGETS_V2,MYOGENESIS,OXIDATIVE_PHOSPHORYLATION,P53_PATHWAY,PEROXISOME,PI3K_AKT_MTOR_SIGNALING,PROTEIN_SECRETION,REACTIVE_OXYGEN_SPECIES_PATHWAY,SPERMATOGENESIS,TGF_BETA_SIGNALING,TNFA_SIGNALING_VIA_NFKB,UNFOLDED_PROTEIN_RESPONSE,UV_RESPONSE_DN,UV_RESPONSE_UP,WNT_BETA_CATENIN_SIGNALING,XENOBIOTIC_METABOLISM
Ciliated,1.1389245818876401,-6.993008219327228,-1.224861597883065,-2.5644101798188443,-2.6852959728808288,-2.0710277319957022,-2.2766685050619704,0.8708749415096282,1.5873538503167746,-2.253558888329832,-3.412751829879786,1.174574480382574,-4.161582451133235,-5.497504942040144,1.2578732005631903,1.300888062433746,-1.2462908817221015,-4.068702977808489,-1.522974555130538,1.7077323478776765,-2.080832710135847,-4.535032218349979,-2.961795077123022,-5.19601391559502,-2.3441276874409143,-3.7293403675119197,1.6519328666676505,-4.9121516921639605,-2.0544934622576965,-1.6022496919327829,-2.4687459724640664,-1.2141132411023952,-1.6392258594444273,2.665589791459204,-2.082418586541608,2.1482905851196383,-1.4549221817838403,1.683897103001314,1.4015196997399697,0.9852701283460803,-1.2213415186096446,-5.094740938476681,-1.4067157881513312,1.5479652993865098,-1.7313146608176833,0.70519186483578,1.4857789370469943
Club_AT2/1_high,2.191818516832124,-6.869567768497446,2.5701706989812307,-2.0518232039389748,-2.0888012646256495,-1.2463097853934368,3.3281804893904354,1.0671553413119306,2.296434325973293,1.5100140289939048,-3.291839284374062,2.350707659866455,-3.4383631796448255,-4.287545877350106,3.319961847924599,2.8217532662671556,1.8177344445687997,-2.601606646235031,2.409729019610153,1.815508646102172,2.4646099301642423,-2.8723240386183817,-2.7287104027290843,-4.190775551979932,1.8201406305865446,-3.7463788371343356,1.2835022556139797,-3.1048672999889675,-2.4147995266560573,2.2133223558122057,3.6007779231717003,1.840806975140519,-1.5198678755088646,3.275796725674832,3.441798083237448,1.6183195261211,1.3486775094318006,2.8360468798234604,2.340140763386919,-1.623093050624835,2.1009407301581997,3.3733159135064703,2.4982785224318476,1.9258437940153736,2.678947050947901,-1.0807596753482505,1.6303760609812785
Tumor Club_AT2_LUAD,1.9300334930769374,-6.610145843342266,3.6577063125278166,-1.6951938112419958,-1.7172252959641683,-1.3045691949562357,-2.4371414930727027,1.5855271861718516,3.945023705687886,1.5846446174645545,-2.6590482631720356,1.1073942451870988,-5.461580653006404,-4.411899647777386,3.58468506818772,4.2466848496965754,2.1377603418621187,-4.176214439045147,2.3315070027087654,1.1742104010340633,2.0042497194289925,-3.234251580479311,-2.199137896356531,-4.723888568676845,-2.4846257013317974,-4.204894952804353,0.9519688608406804,-3.5112488348791704,-2.507215335872426,2.0667226092274613,1.619684669424489,0.6181834244081733,-1.7118468435560412,3.2671329723146263,2.613050700561778,2.544299260199636,-1.3985048893101344,2.793664845021866,2.074301956277278,-1.2214933539666875,1.522731297878009,3.0348269226468805,1.5336470110257057,2.598699441545165,2.180398434897738,-0.7501541945235058,2.3054682935452036
Tumor LUAD_Club_AT2,1.7512967846437362,-5.596893004421626,2.6016984137360804,-1.744658325011423,2.1718559418036225,1.1797585895914109,3.1393596318208523,1.5060862893708094,2.1316211591157264,1.927212073713451,1.6941915684198245,1.6607277681514807,-1.9057228580588523,-3.3504492347042842,3.304411877235807,2.8136142685129384,1.9574943360553032,-1.4933299055198799,2.60568525797783,1.9913447672370823,2.115010636792807,-2.089798849683774,-1.5860145770608203,-2.8759770340981876,2.034443818072722,-3.4923246141193163,1.0033087297692347,-2.934957594055691,1.9532089499032765,2.274996951757128,2.408601316671497,1.981733029227565,0.9587275700443219,2.4367490547632644,3.3194527622336896,1.5398380155337026,1.6697180260702482,3.0179520322810207,1.6230378161740215,-0.8812735479409,1.7961909787401495,4.169889439759439,2.043302934811739,2.9416567724009175,2.3418494028229953,-1.0395099456322094,1.8415039853473172
Tumor LUAD_Club_AT2/1,1.7995554774073446,-5.467284324315736,3.713267232714552,-1.5881328563123718,2.112288557185847,-1.0726820725806878,2.8688639592517857,1.3391444139563102,3.8707724508523067,2.1733928102020297,-2.4999909207591378,1.495916508364497,-5.011701560206668,-3.7583432913073764,3.5312730400387653,3.8731325930155904,2.0942506877980036,-3.7496600183834348,1.8016932467501954,1.1823762360834777,2.5059853025993073,1.9324310468276347,-1.8194450183292703,-2.6517579496634345,-1.7976479102451541,-4.352275002623822,2.4279966486975297,-2.552058454145423,1.8348567021654787,1.8255782401043767,-4.008942447781533,-1.4997698794666292,1.5753933342956241,-2.2306246909006107,3.619341997096611,1.4897069012924025,0.9990150226733693,2.447190381778566,1.703460836192098,-0.8543930464940961,1.9356649315986119,5.123974304296457,-1.5733187594510718,2.9256425975228253,2.8734148471169654,1.2572936153805774,2.4828169037939656
Tumor LUAD_NE_LUSC,-3.216985756476924,-5.1396203866428385,-1.9832687332100631,-1.8264933299891455,-2.823286369434309,-1.0673921152324197,-4.098965823882876,-0.9392459931904951,1.1522658188517267,-2.596767663389114,-3.634309935591869,1.3577389480376318,2.18301547154456,-4.223154209550519,1.6124079252180552,1.5624363571684292,-1.106126514170791,-1.510625056394389,1.7220528538145428,-2.0497742125763185,-3.1962772774419537,-4.0346689486584495,-3.0381351593429575,-3.6957715060235516,-2.913782865020836,-5.371578452692277,2.5866076555012887,-2.910756131644734,-2.4510363195152745,-3.40226151633456,1.9717260930105556,-0.9956574492439383,-1.3556765665419912,1.5772893094735363,-2.8584088445008358,1.3881585680688804,-1.591059915661843,-2.447669667125122,-1.3412186931256154,1.5648185306804705,-2.170075978028761,-5.931376747809433,-2.4655758534896894,-2.922106740950628,-1.6650443512543336,-1.516740004544488,1.1684096045691568
Tumor LUAD_NE_mitotic,2.82088686044551,-4.920378565043969,3.2778709954361167,-1.885878222591041,1.9724397367998063,1.7541075580373904,3.01294145635052,-0.9199363546162577,2.5055552954347724,1.5403561828429175,1.952102185795932,3.1677522280753823,2.2887137403292908,-4.909170702286961,3.655716556904786,3.3845561280340966,1.5635228857945846,2.3248266284572243,3.360459066335746,2.109668418413643,2.743380427410751,1.9104722194996955,1.2509908548033506,-3.1815857889961996,1.9363296768138498,-2.011655822291494,-1.5479405219801474,-2.5621856306480404,2.3735889157426073,3.0971958992234208,4.040673272892541,1.9225401219001927,1.5638465076219898,4.020720312242454,3.222436192958149,2.305840337032548,1.5778682286376218,3.4246762157559125,2.669886068654922,1.5088925963057123,1.5251032485973615,3.775910256230225,2.521849861580695,2.7633886924901954,2.625707576989158,-0.8621793805312167,1.651560462778668
Tumor LUAD_mitotic,1.6227542630325567,-5.915988737261187,2.765529614447111,-1.1780574890507836,2.203274564642014,1.0370434245439548,2.127973228901423,-0.7860221942223998,2.592468450066616,-1.181748803943086,-2.032803140689763,2.779750277202236,4.977163694413339,-2.7999125166994085,3.0914410101958794,3.3081618129417296,1.34886721127636,5.117751905216134,4.3660627940912216,1.2866412376915226,2.3212480575885834,-3.408264019634743,-2.5149475880548393,-3.5800434868788664,1.3438831615395426,-3.189958135791314,-1.5299887797428637,-2.984921532173428,4.388296254919993,3.523204354161796,4.418947731547146,1.7561277933347634,-1.2823318200264302,2.009561659678669,2.8081313195880093,1.627871928380929,1.9164704118600469,1.6687914394984036,1.1335110956970422,1.141771834519592,1.9490190662995197,-2.650405745550599,2.8234898268146686,2.5157305622366954,2.0474842534032955,-0.922089733620812,-0.828530253021748
Tumor LUSC_LUAD_mitotic,2.0656869659215125,-5.534909563182519,3.63169496256547,1.365174951614508,2.141609880748166,-1.1513264134684231,2.3747594334859357,-0.7771042382071239,3.0989112106870262,-1.0772956353715148,-2.044075018924836,3.2044407976392697,1.8357010554671387,2.1624800174149876,3.278372353599975,3.409486190370253,1.7044129167999975,1.3535534802838958,4.297925832041678,1.8940359396352853,3.0259051224620572,-3.0573396457762354,-2.643423048601532,-3.298604632527807,1.8127629768861544,-2.7634261129159206,-1.4084589377120615,2.0113425114422765,1.4859712930622109,3.7932929562726527,4.337241340243886,2.1212429023013764,-2.354021024074117,3.210887114551732,3.3696411123013252,2.1853733214154536,1.8881384819356024,2.612775377676786,2.264314401722773,-1.2011609742428595,2.071283406670573,2.4136443149590705,2.8277558352046555,2.690983797513356,2.4953112010799323,0.8607208150306205,1.3209885700823625
