dataset,cell_type
Chen_Zhang_2020,AT1
Chen_Zhang_2020,B cell
Chen_Zhang_2020,Ciliated
Chen_Zhang_2020,Club_AT2_even_1
Chen_Zhang_2020,Club_AT2_even_2
Chen_Zhang_2020,Club_Ciliated
Chen_Zhang_2020,DC mature
Chen_Zhang_2020,Endothelial cell arterial
Chen_Zhang_2020,Endothelial cell capillary
Chen_Zhang_2020,Endothelial cell lymphatic
Chen_Zhang_2020,Endothelial cell venous
Chen_Zhang_2020,Fibroblast adventitial
Chen_Zhang_2020,Fibroblast alveolar
Chen_Zhang_2020,Fibroblast peribronchial
Chen_Zhang_2020,Macrophage
Chen_Zhang_2020,Macrophage alveolar
Chen_Zhang_2020,Mast cell
Chen_Zhang_2020,Monocyte classical
Chen_Zhang_2020,Monocyte non-classical
Chen_Zhang_2020,NK cell
Chen_Zhang_2020,Neutrophils
Chen_Zhang_2020,Pericyte
Chen_Zhang_2020,Plasma cell
Chen_Zhang_2020,Smooth muscle cell
Chen_Zhang_2020,T cell CD4
Chen_Zhang_2020,T cell CD4 dividing
Chen_Zhang_2020,T cell CD8 activated
Chen_Zhang_2020,T cell CD8 dividing
Chen_Zhang_2020,T cell CD8 effector memory
Chen_Zhang_2020,T cell CD8 naive
Chen_Zhang_2020,T cell CD8 terminally exhausted
Chen_Zhang_2020,T cell NK-like
Chen_Zhang_2020,T cell regulatory
Chen_Zhang_2020,Tumor LUAD_AT2_mitotic
Chen_Zhang_2020,Tumor LUAD_mitotic
Chen_Zhang_2020,cDC1
Chen_Zhang_2020,cDC2
Chen_Zhang_2020,myeloid dividing
Chen_Zhang_2020,pDC
He_Fan_2021,AT1
He_Fan_2021,AT2_ROS1+
He_Fan_2021,B cell
He_Fan_2021,Ciliated
He_Fan_2021,Club_AT2_even_1
He_Fan_2021,Club_AT2_even_2
He_Fan_2021,Club_AT2_high
He_Fan_2021,Club_Ciliated
He_Fan_2021,DC mature
He_Fan_2021,Endothelial cell capillary
He_Fan_2021,Endothelial cell lymphatic
He_Fan_2021,Endothelial cell venous
He_Fan_2021,Fibroblast adventitial
He_Fan_2021,Fibroblast alveolar
He_Fan_2021,Fibroblast peribronchial
He_Fan_2021,Macrophage
He_Fan_2021,Macrophage alveolar
He_Fan_2021,Mast cell
He_Fan_2021,Monocyte classical
He_Fan_2021,NK cell
He_Fan_2021,NK cell dividing
He_Fan_2021,Pericyte
He_Fan_2021,Plasma cell
