stage,cluster,contrast,dataset,status,source_file
I-II,0,normal-vs-normal,Zuani_2024_NSCLC,complete,I-II_Zuani_2024_NSCLC_normal_cluster_0_tumorall.npy
I-II,1,normal-vs-normal,Zuani_2024_NSCLC,complete,I-II_Zuani_2024_NSCLC_normal_cluster_1_tumorall.npy
I-II,2,normal-vs-normal,Zuani_2024_NSCLC,complete,I-II_Zuani_2024_NSCLC_normal_cluster_2_tumorall.npy
III-IV,0,tumor-vs-all,Chen_Zhang_2020,complete,III-IV_Chen_Zhang_2020_cluster_0_tumorall.npy
III-IV,1,tumor-vs-all,Chen_Zhang_2020,complete,III-IV_Chen_Zhang_2020_cluster_1_tumorall.npy
III-IV,0,normal-vs-normal,Chen_Zhang_2020,complete,III-IV_Chen_Zhang_2020_normal_cluster_0_tumorall.npy
III-IV,1,normal-vs-normal,Chen_Zhang_2020,complete,III-IV_Chen_Zhang_2020_normal_cluster_1_tumorall.npy
III-IV,1,tumor-vs-all,Deng_Liu_LUAD_2024,complete,III-IV_Deng_Liu_LUAD_2024_cluster_1_tumorall.npy
III-IV,1,normal-vs-normal,Deng_Liu_LUAD_2024,complete,III-IV_Deng_Liu_LUAD_2024_normal_cluster_1_tumorall.npy
III-IV,0,tumor-vs-all,Hu_Zhang_2023_NSCLC,complete,III-IV_Hu_Zhang_2023_NSCLC_cluster_0_tumorall.npy
III-IV,1,tumor-vs-all,Hu_Zhang_2023_NSCLC,complete,III-IV_Hu_Zhang_2023_NSCLC_cluster_1_tumorall.npy
III-IV,2,tumor-vs-all,Hu_Zhang_2023_NSCLC,complete,III-IV_Hu_Zhang_2023_NSCLC_cluster_2_tumorall.npy
III-IV,0,normal-vs-normal,Hu_Zhang_2023_NSCLC,complete,III-IV_Hu_Zhang_2023_NSCLC_normal_cluster_0_tumorall.npy
III-IV,1,normal-vs-normal,Hu_Zhang_2023_NSCLC,complete,III-IV_Hu_Zhang_2023_NSCLC_normal_cluster_1_tumorall.npy
