stage,cluster,contrast,cell_type,gene,dataset_support,mean_auc,min_auc,max_auc,eligible_datasets,support_fraction,rank
I-II,0,normal-vs-normal,B cell,MS4A1,11,0.8811334000288614,0.7356274274524799,0.9623907997773876,11,1.0,1
I-II,0,normal-vs-normal,B cell,CD79A,11,0.8632472883965838,0.7535559187651045,0.9425216077776266,11,1.0,2
I-II,0,normal-vs-normal,B cell,CD37,11,0.7815158070118653,0.7007133870686943,0.8759601805933775,11,1.0,3
I-II,0,normal-vs-normal,B cell,IGKC,11,0.7226232295072778,0.6525835747491355,0.803221312664347,11,1.0,4
I-II,0,normal-vs-normal,B cell,BANK1,10,0.800435674778098,0.6660712702721976,0.9234935339472132,11,0.9090909090909091,5
I-II,0,normal-vs-normal,B cell,CXCR4,10,0.7455088178189099,0.69253562144244,0.8154849243562429,11,0.9090909090909091,6
I-II,0,normal-vs-normal,B cell,HLA-DRA,10,0.7425174804220711,0.6805049091764285,0.8041754263799822,11,0.9090909090909091,7
I-II,0,normal-vs-normal,B cell,IGHM,10,0.7327751912854639,0.6638788319201419,0.8738731817686589,11,0.9090909090909091,8
I-II,0,normal-vs-normal,B cell,LTB,9,0.7437393098750115,0.6927049757317353,0.8044556386547835,11,0.8181818181818182,9
I-II,0,normal-vs-normal,B cell,VPREB3,9,0.73782316241393,0.6615998288924866,0.8296275347049094,11,0.8181818181818182,10
I-II,0,normal-vs-normal,B cell dividing,MS4A1,5,0.9883071262427074,0.9657683684297014,0.9993111101857272,5,1.0,1
I-II,0,normal-vs-normal,B cell dividing,HMGN2,5,0.9678606011756437,0.9375579801283168,0.9832471304414613,5,1.0,2
I-II,0,normal-vs-normal,B cell dividing,CD79A,5,0.9666339436711512,0.9004342381588262,0.9968958491350326,5,1.0,3
I-II,0,normal-vs-normal,B cell dividing,HMGB2,5,0.959603101319072,0.9364045824747568,0.9765418541746448,5,1.0,4
I-II,0,normal-vs-normal,B cell dividing,CD22,5,0.9425460709235951,0.816484835482568,0.9962993643065831,5,1.0,5
I-II,0,normal-vs-normal,B cell dividing,CD79B,5,0.9417132800350319,0.8462918738219894,0.9977052820821997,5,1.0,6
I-II,0,normal-vs-normal,B cell dividing,STMN1,5,0.9396606258750027,0.922382371600677,0.9484912774713337,5,1.0,7
I-II,0,normal-vs-normal,B cell dividing,LIMD2,5,0.9340434188999256,0.8424244301548538,0.9848470909445751,5,1.0,8
I-II,0,normal-vs-normal,B cell dividing,CORO1A,5,0.9330419962154295,0.8700988003884859,0.9861101000587398,5,1.0,9
I-II,0,normal-vs-normal,B cell dividing,PTTG1,5,0.9262041166771124,0.8727688419242391,0.9850812116265482,5,1.0,10
I-II,0,normal-vs-normal,DC mature,LAMP3,9,0.9233647621732894,0.8046244285491855,0.9981425735169683,9,1.0,1
I-II,0,normal-vs-normal,DC mature,BIRC3,9,0.9182079863580209,0.7789649912931007,0.9961403618416732,9,1.0,2
I-II,0,normal-vs-normal,DC mature,MARCKSL1,9,0.9150861194140596,0.8265178203034107,0.9790405360759734,9,1.0,3
I-II,0,normal-vs-normal,DC mature,CCR7,9,0.9139608598146166,0.80602987356382,0.9863457341712913,9,1.0,4
I-II,0,normal-vs-normal,DC mature,FSCN1,9,0.9038675764213918,0.7673759563249466,0.9861398389285608,9,1.0,5
I-II,0,normal-vs-normal,DC mature,TXN,9,0.9024187631815016,0.8314022959156205,0.9518325563835729,9,1.0,6
I-II,0,normal-vs-normal,DC mature,BASP1,9,0.8802481137552366,0.7888714974927049,0.9529838075453888,9,1.0,7
I-II,0,normal-vs-normal,DC mature,CSF2RA,9,0.8787703506695111,0.7222966832019319,0.9473078945061612,9,1.0,8
I-II,0,normal-vs-normal,DC mature,HLA-DPB1,9,0.8773217197296632,0.7892647741301718,0.9161464545161677,9,1.0,9
I-II,0,normal-vs-normal,DC mature,LSP1,9,0.8728190114360479,0.7661828780195533,0.9469710990408184,9,1.0,10
I-II,0,normal-vs-normal,Endothelial cell arterial,IFI27,9,0.9631232599907771,0.9470927002782155,0.9761728393169682,9,1.0,1
I-II,0,normal-vs-normal,Endothelial cell arterial,RAMP2,9,0.9510566448564229,0.9106571773633841,0.9851421741792751,9,1.0,2
I-II,0,normal-vs-normal,Endothelial cell arterial,EPAS1,9,0.9426743551616118,0.8054660970859264,0.9954661026529946,9,1.0,3
I-II,0,normal-vs-normal,Endothelial cell arterial,CLDN5,9,0.936481011563301,0.7511054289075857,0.9987949364119618,9,1.0,4
I-II,0,normal-vs-normal,Endothelial cell arterial,CLEC14A,9,0.9327730574102655,0.8499390904791966,0.993394026181561,9,1.0,5
I-II,0,normal-vs-normal,Endothelial cell arterial,AQP1,9,0.9288066698868168,0.8645371022539929,0.970754569425633,9,1.0,6
I-II,0,normal-vs-normal,Endothelial cell arterial,RNASE1,9,0.927410780304811,0.8960770874883922,0.9752412583744373,9,1.0,7
I-II,0,normal-vs-normal,Endothelial cell arterial,TM4SF1,9,0.9220626311480564,0.81271712406375,0.978748230909887,9,1.0,8
I-II,0,normal-vs-normal,Endothelial cell arterial,PTPRB,9,0.9139055952405679,0.837528549336522,0.9888271069056271,9,1.0,9
I-II,0,normal-vs-normal,Endothelial cell arterial,IFITM3,9,0.8953759626032503,0.838918853202096,0.9361473607163383,9,1.0,10
I-II,0,normal-vs-normal,Endothelial cell capillary,RAMP2,8,0.897184012608762,0.6827890760468196,0.9737654338866887,8,1.0,1
I-II,0,normal-vs-normal,Endothelial cell capillary,IFI27,8,0.8944932276983212,0.7587922037995732,0.951571315550607,8,1.0,2
I-II,0,normal-vs-normal,Endothelial cell capillary,EPAS1,8,0.8910657675338618,0.6902358911537336,0.9528311082817693,8,1.0,3
I-II,0,normal-vs-normal,Endothelial cell capillary,TNFSF10,8,0.8852017043527309,0.7536146112658277,0.9869522164755684,8,1.0,4
I-II,0,normal-vs-normal,Endothelial cell capillary,RNASE1,8,0.8816453085503747,0.8003720034538089,0.9454120717488128,8,1.0,5
I-II,0,normal-vs-normal,Endothelial cell capillary,PECAM1,8,0.8443727707917289,0.716558480026301,0.9439252674286885,8,1.0,6
I-II,0,normal-vs-normal,Endothelial cell capillary,TM4SF1,8,0.8329078068041679,0.6864331512849028,0.9540884087643375,8,1.0,7
I-II,0,normal-vs-normal,Endothelial cell capillary,CLEC14A,8,0.8312627869013903,0.691581806997904,0.9510222847363209,8,1.0,8
I-II,0,normal-vs-normal,Endothelial cell capillary,CAV1,8,0.8294507445438519,0.7089226923118103,0.9341666660460097,8,1.0,9
I-II,0,normal-vs-normal,Endothelial cell capillary,SPARCL1,8,0.8091145124072852,0.6572247013974442,0.9448088335818826,8,1.0,10
I-II,0,normal-vs-normal,Endothelial cell lymphatic,CCL21,8,0.98803211471598,0.9433670083341467,1.000000000684085,8,1.0,1
I-II,0,normal-vs-normal,Endothelial cell lymphatic,TFF3,8,0.9509365197705246,0.8202370290099077,1.0000000001439528,8,1.0,2
I-II,0,normal-vs-normal,Endothelial cell lymphatic,TFPI,8,0.942791753362018,0.8604587418463145,0.9888018000367664,8,1.0,3
I-II,0,normal-vs-normal,Endothelial cell lymphatic,GNG11,8,0.9413464359169145,0.8010480166276351,0.9943261296853648,8,1.0,4
I-II,0,normal-vs-normal,Endothelial cell lymphatic,MMRN1,8,0.9394863622700756,0.819567304708701,0.999530909795231,8,1.0,5
I-II,0,normal-vs-normal,Endothelial cell lymphatic,RAMP2,8,0.9156104638149971,0.8568514197416525,0.9818512380907446,8,1.0,6
I-II,0,normal-vs-normal,Endothelial cell lymphatic,FABP4,8,0.9111059738549521,0.7405527316757305,0.9870458928410747,8,1.0,7
I-II,0,normal-vs-normal,Endothelial cell lymphatic,IGFBP7,8,0.9069811608518914,0.8607367876590496,0.9760015635657402,8,1.0,8
I-II,0,normal-vs-normal,Endothelial cell lymphatic,CAVIN2,8,0.8944752521287925,0.7449709954793418,0.9885837355536082,8,1.0,9
I-II,0,normal-vs-normal,Endothelial cell lymphatic,APP,8,0.8810010212212893,0.772986728283755,0.9677999135608961,8,1.0,10
I-II,0,normal-vs-normal,Endothelial cell venous,VWF,11,0.9313532374846919,0.8398260341562218,0.9834631475638759,11,1.0,1
I-II,0,normal-vs-normal,Endothelial cell venous,SPARCL1,11,0.8978654412962167,0.8049615081812281,0.9535872793510645,11,1.0,2
I-II,0,normal-vs-normal,Endothelial cell venous,IFI27,11,0.8812426430033734,0.730710500480811,0.9605941806175188,11,1.0,3
I-II,0,normal-vs-normal,Endothelial cell venous,TM4SF1,11,0.8791257913092804,0.7340667036214897,0.9794708437829969,11,1.0,4
I-II,0,normal-vs-normal,Endothelial cell venous,CLEC14A,11,0.8730243521859893,0.7454942688801276,0.9435264058895849,11,1.0,5
I-II,0,normal-vs-normal,Endothelial cell venous,PECAM1,11,0.86975451231902,0.7653192918268803,0.9450031973940922,11,1.0,6
I-II,0,normal-vs-normal,Endothelial cell venous,RAMP2,11,0.8656591866838697,0.6902687249646757,0.9996054998165296,11,1.0,7
I-II,0,normal-vs-normal,Endothelial cell venous,AQP1,11,0.8634260086350253,0.7703776614829351,0.9476115243176403,11,1.0,8
I-II,0,normal-vs-normal,Endothelial cell venous,RNASE1,11,0.8576348229843948,0.7381175433715281,0.9421827228606854,11,1.0,9
I-II,0,normal-vs-normal,Endothelial cell venous,EPAS1,11,0.8561117426613071,0.7301980549992614,0.9812321159338715,11,1.0,10
I-II,0,normal-vs-normal,Fibroblast adventitial,DCN,10,0.9442299849838269,0.7655105281116873,0.9794044091455698,10,1.0,1
I-II,0,normal-vs-normal,Fibroblast adventitial,C1R,10,0.93025192502033,0.8837992062420406,0.9697802186184531,10,1.0,2
I-II,0,normal-vs-normal,Fibroblast adventitial,CCDC80,10,0.9226371404226874,0.777123022884115,0.9787490971978747,10,1.0,3
I-II,0,normal-vs-normal,Fibroblast adventitial,C1S,10,0.9203333194751318,0.7598811454224068,0.9674477203656896,10,1.0,4
I-II,0,normal-vs-normal,Fibroblast adventitial,COL1A2,10,0.9038864084858993,0.8171741508448425,0.9489842854742282,10,1.0,5
I-II,0,normal-vs-normal,Fibroblast adventitial,MMP2,10,0.8969087583140632,0.8067773732124515,0.9733131849321327,10,1.0,6
I-II,0,normal-vs-normal,Fibroblast adventitial,COL6A2,10,0.8966618744985505,0.8144557266395842,0.9679080776510652,10,1.0,7
I-II,0,normal-vs-normal,Fibroblast adventitial,SERPING1,10,0.8929698747233408,0.7267826759233358,0.9486891610220112,10,1.0,8
I-II,0,normal-vs-normal,Fibroblast adventitial,COL1A1,10,0.8808568879626991,0.791306059179704,0.948616197585263,10,1.0,9
I-II,0,normal-vs-normal,Fibroblast adventitial,NBL1,10,0.8719119021351156,0.7427875936733976,0.9649236440836582,10,1.0,10
I-II,0,normal-vs-normal,Fibroblast alveolar,DCN,11,0.9604113070480931,0.9366321687187995,0.9756334373878435,11,1.0,1
I-II,0,normal-vs-normal,Fibroblast alveolar,LUM,11,0.9486596841906952,0.8486882891046172,0.9730085480058844,11,1.0,2
I-II,0,normal-vs-normal,Fibroblast alveolar,MGP,11,0.9282284324520592,0.8443705884462029,0.968047420427715,11,1.0,3
I-II,0,normal-vs-normal,Fibroblast alveolar,MFAP4,11,0.9252362898730113,0.8275344138863285,0.9898375144644324,11,1.0,4
I-II,0,normal-vs-normal,Fibroblast alveolar,C1S,11,0.9229650219555435,0.8329834763572509,0.9587285421928609,11,1.0,5
I-II,0,normal-vs-normal,Fibroblast alveolar,A2M,11,0.9191446034963782,0.7819984781602506,0.9688177530585893,11,1.0,6
I-II,0,normal-vs-normal,Fibroblast alveolar,MMP2,11,0.908458816156005,0.7928168617290479,0.9570375027769318,11,1.0,7
I-II,0,normal-vs-normal,Fibroblast alveolar,COL1A2,11,0.8944491097935486,0.7495175084575184,0.957471141497276,11,1.0,8
I-II,0,normal-vs-normal,Fibroblast alveolar,COL6A3,11,0.8920875898023805,0.7859070295860486,0.9626180103331391,11,1.0,9
I-II,0,normal-vs-normal,Fibroblast alveolar,SELENOP,11,0.8919100753718848,0.7640292606923772,0.9672273937623744,11,1.0,10
I-II,0,normal-vs-normal,Fibroblast peribronchial,COL1A1,11,0.9755449957372607,0.9594281991513519,0.9905841044479038,11,1.0,1
I-II,0,normal-vs-normal,Fibroblast peribronchial,COL1A2,11,0.9739094061452168,0.9590894005885391,0.9906538905038516,11,1.0,2
I-II,0,normal-vs-normal,Fibroblast peribronchial,COL3A1,11,0.9738586111939017,0.9543102316522718,0.9909009948806679,11,1.0,3
I-II,0,normal-vs-normal,Fibroblast peribronchial,COL6A3,11,0.9550815449590039,0.922104963507485,0.9806624066714577,11,1.0,4
I-II,0,normal-vs-normal,Fibroblast peribronchial,FN1,11,0.9514761473410069,0.922156555964324,0.9767035368402954,11,1.0,5
I-II,0,normal-vs-normal,Fibroblast peribronchial,SPARC,11,0.9509367636023213,0.9160023598836792,0.9872070000780264,11,1.0,6
I-II,0,normal-vs-normal,Fibroblast peribronchial,LUM,11,0.9461811405617433,0.8821581642838994,0.9737426034533123,11,1.0,7
I-II,0,normal-vs-normal,Fibroblast peribronchial,COL6A2,11,0.9281200366182553,0.8331824969270791,0.9725692469886316,11,1.0,8
I-II,0,normal-vs-normal,Fibroblast peribronchial,C1S,11,0.92352108843682,0.8746274310804704,0.9693810343248986,11,1.0,9
I-II,0,normal-vs-normal,Fibroblast peribronchial,COL6A1,11,0.9227457217024849,0.8318764045174785,0.9726662620398291,11,1.0,10
I-II,0,normal-vs-normal,Macrophage,FTL,11,0.943234248918198,0.8527835703101192,0.9709573519852838,11,1.0,1
I-II,0,normal-vs-normal,Macrophage,CTSB,11,0.9262602931174423,0.8806925321444784,0.9600627460555771,11,1.0,2
I-II,0,normal-vs-normal,Macrophage,TYROBP,11,0.912086134055378,0.8746815853258084,0.9473831139336422,11,1.0,3
I-II,0,normal-vs-normal,Macrophage,C1QA,11,0.9028824495211257,0.7964619274170825,0.938089416515575,11,1.0,4
I-II,0,normal-vs-normal,Macrophage,CTSD,11,0.9026764360468197,0.8047716732209415,0.9518282256027091,11,1.0,5
I-II,0,normal-vs-normal,Macrophage,FCER1G,11,0.9011038392348422,0.8678911205731223,0.9359623356920382,11,1.0,6
I-II,0,normal-vs-normal,Macrophage,CD68,11,0.89680486203759,0.7867946028229699,0.9557940381909299,11,1.0,7
I-II,0,normal-vs-normal,Macrophage,GLUL,11,0.8966672835578002,0.8544183398468412,0.9339356476347451,11,1.0,8
I-II,0,normal-vs-normal,Macrophage,C1QB,11,0.8935427244879652,0.7739705547269243,0.9364078995087114,11,1.0,9
I-II,0,normal-vs-normal,Macrophage,PSAP,11,0.8924031436403503,0.8277931457011023,0.955850777478812,11,1.0,10
I-II,0,normal-vs-normal,Macrophage alveolar,APOC1,11,0.9402322798638963,0.82827337328453,0.996235242819789,11,1.0,1
I-II,0,normal-vs-normal,Macrophage alveolar,FTL,11,0.9319910189577016,0.8019216958130726,0.9868022651724039,11,1.0,2
I-II,0,normal-vs-normal,Macrophage alveolar,C1QA,11,0.9248754650745638,0.8029120315316813,0.9955462503655171,11,1.0,3
I-II,0,normal-vs-normal,Macrophage alveolar,C1QB,11,0.9205050353213735,0.8044431784572754,0.9957541100061883,11,1.0,4
I-II,0,normal-vs-normal,Macrophage alveolar,CTSD,11,0.9038449837911976,0.6764369363968209,0.9932568161240196,11,1.0,5
I-II,0,normal-vs-normal,Macrophage alveolar,LYZ,11,0.896118527127551,0.7176641025949629,0.955537145620212,11,1.0,6
I-II,0,normal-vs-normal,Macrophage alveolar,APOE,11,0.8946599051310252,0.7757276366199405,0.9871012322529337,11,1.0,7
I-II,0,normal-vs-normal,Macrophage alveolar,C1QC,11,0.8849120437210235,0.7266141538589348,0.9910299993905641,11,1.0,8
I-II,0,normal-vs-normal,Macrophage alveolar,CSTB,11,0.8715076678586494,0.6667787077114977,0.9617648309414478,11,1.0,9
I-II,0,normal-vs-normal,Macrophage alveolar,CD68,11,0.8653724847690825,0.6952597271793882,0.9928208002706024,11,1.0,10
I-II,0,normal-vs-normal,Mast cell,TPSAB1,11,0.9834888326186129,0.9089297844804296,1.0000000023777342,11,1.0,1
I-II,0,normal-vs-normal,Mast cell,TPSB2,11,0.9813219298756297,0.9113281886670652,0.9999999978795735,11,1.0,2
I-II,0,normal-vs-normal,Mast cell,CPA3,11,0.9760392066634977,0.8947637573376621,0.9999796751990563,11,1.0,3
I-II,0,normal-vs-normal,Mast cell,MS4A2,11,0.9379227718418689,0.7961728649574958,0.9999743313314218,11,1.0,4
I-II,0,normal-vs-normal,Mast cell,HPGDS,11,0.914654593553193,0.750549596218978,0.9826232942641875,11,1.0,5
I-II,0,normal-vs-normal,Mast cell,GATA2,11,0.885167017215544,0.7466128105698716,0.9893644599250607,11,1.0,6
I-II,0,normal-vs-normal,Mast cell,KIT,11,0.8774348927652955,0.7405204542892995,0.9962301397189742,11,1.0,7
I-II,0,normal-vs-normal,Mast cell,VWA5A,11,0.8754277317841104,0.7394095036772734,0.9865082102953281,11,1.0,8
I-II,0,normal-vs-normal,Mast cell,SLC18A2,11,0.8654116868737105,0.7161027095515323,0.9812074990386652,11,1.0,9
I-II,0,normal-vs-normal,Mast cell,RHEX,11,0.8522608277016467,0.7028993278979283,0.9401262428873076,11,1.0,10
I-II,0,normal-vs-normal,Mesothelial,KRT18,4,0.9810738938918898,0.9383449246479348,0.9999999975584268,4,1.0,1
I-II,0,normal-vs-normal,Mesothelial,HP,4,0.9686622669844205,0.8870294376511335,0.9987687697969714,4,1.0,2
I-II,0,normal-vs-normal,Mesothelial,RARRES1,4,0.9613534638926575,0.8764830029290839,0.995781971169043,4,1.0,3
I-II,0,normal-vs-normal,Mesothelial,KRT19,4,0.9443606598548562,0.883309791032033,0.9991455045470256,4,1.0,4
I-II,0,normal-vs-normal,Mesothelial,PLA2G2A,4,0.9418748411856132,0.882962872593815,0.9987096753086154,4,1.0,5
I-II,0,normal-vs-normal,Mesothelial,TIMP1,4,0.938492913985723,0.8781531506124434,0.9814347600944918,4,1.0,6
I-II,0,normal-vs-normal,Mesothelial,NNMT,4,0.937534822189257,0.8350080104554076,0.9897252075995353,4,1.0,7
I-II,0,normal-vs-normal,Mesothelial,KRT8,4,0.9304939253327887,0.8255696917461353,0.9999999975584268,4,1.0,8
I-II,0,normal-vs-normal,Mesothelial,CLDN1,4,0.927365142785818,0.829537757022915,0.9999646260184777,4,1.0,9
I-II,0,normal-vs-normal,Mesothelial,TM4SF1,4,0.9241406083443625,0.8685671098291033,0.9758468069779747,4,1.0,10
I-II,0,normal-vs-normal,Monocyte classical,LYZ,11,0.8798047730363877,0.8033680124196123,0.918470352761111,11,1.0,1
I-II,0,normal-vs-normal,Monocyte classical,S100A8,11,0.8625701427593334,0.6906554616091516,0.9216194478294257,11,1.0,2
I-II,0,normal-vs-normal,Monocyte classical,S100A9,11,0.8597846105009558,0.7073498441212139,0.9436724971079878,11,1.0,3
I-II,0,normal-vs-normal,Monocyte classical,FCN1,11,0.8518679223659031,0.7071599894394008,0.9379598943826133,11,1.0,4
I-II,0,normal-vs-normal,Monocyte classical,TYROBP,11,0.8317153837731189,0.7861175951983731,0.8974520255654735,11,1.0,5
I-II,0,normal-vs-normal,Monocyte classical,AIF1,11,0.8228212139056992,0.7062202615901546,0.8760998064771265,11,1.0,6
I-II,0,normal-vs-normal,Monocyte classical,FCER1G,11,0.8196502906122024,0.750753118421892,0.8885435304671657,11,1.0,7
I-II,0,normal-vs-normal,Monocyte classical,CTSS,11,0.8080180531031491,0.6943642762894235,0.9115621985787905,11,1.0,8
I-II,0,normal-vs-normal,Monocyte classical,NAMPT,11,0.8039761789056169,0.6518117419711928,0.9026004382097922,11,1.0,9
I-II,0,normal-vs-normal,Monocyte classical,SOD2,11,0.7966290322464988,0.6710061510339385,0.9146051533909475,11,1.0,10
I-II,0,normal-vs-normal,Monocyte non-classical,LST1,11,0.9676587981118282,0.87795722364145,0.9937078852253224,11,1.0,1
I-II,0,normal-vs-normal,Monocyte non-classical,FCGR3A,11,0.94276996438924,0.8792168937641441,0.9843660911906799,11,1.0,2
I-II,0,normal-vs-normal,Monocyte non-classical,CTSS,11,0.9423860163890349,0.8489419185978356,0.9857915358817191,11,1.0,3
I-II,0,normal-vs-normal,Monocyte non-classical,FCER1G,11,0.9143414652395385,0.8191003394636941,0.9580072682215007,11,1.0,4
I-II,0,normal-vs-normal,Monocyte non-classical,AIF1,11,0.9124506927060042,0.7688378838769286,0.9523108266896405,11,1.0,5
I-II,0,normal-vs-normal,Monocyte non-classical,SERPINA1,11,0.9052281782522621,0.7086743688757746,0.9536946221826066,11,1.0,6
I-II,0,normal-vs-normal,Monocyte non-classical,LILRB2,11,0.8925211190549791,0.7226529948017224,0.9973140688365084,11,1.0,7
I-II,0,normal-vs-normal,Monocyte non-classical,MS4A7,11,0.8890120493109976,0.8161597793127352,0.945210658367246,11,1.0,8
I-II,0,normal-vs-normal,Monocyte non-classical,FCN1,11,0.8826206709701491,0.7507458126880717,0.9863126429910168,11,1.0,9
I-II,0,normal-vs-normal,Monocyte non-classical,TYROBP,11,0.8812554054276318,0.8238764705435854,0.9391381287341138,11,1.0,10
I-II,0,normal-vs-normal,NK cell,NKG7,11,0.9199969143766672,0.8322153363365329,0.9751936307659578,11,1.0,1
I-II,0,normal-vs-normal,NK cell,GNLY,11,0.8892192653254156,0.8025556637728023,0.9600546507121605,11,1.0,2
I-II,0,normal-vs-normal,NK cell,KLRD1,11,0.8878688368815953,0.7940598267722234,0.9745764159317991,11,1.0,3
I-II,0,normal-vs-normal,NK cell,PRF1,11,0.8558061384895176,0.7538797808785725,0.986485272920421,11,1.0,4
I-II,0,normal-vs-normal,NK cell,GZMB,11,0.8174379877699761,0.7205831012625719,0.9293996563727885,11,1.0,5
I-II,0,normal-vs-normal,NK cell,CTSW,11,0.8018467383480914,0.703176712059931,0.9107709536335368,11,1.0,6
I-II,0,normal-vs-normal,NK cell,CST7,11,0.7963991438204012,0.6538810317436842,0.9789487843732809,11,1.0,7
I-II,0,normal-vs-normal,NK cell,CCL5,11,0.7921909645645102,0.6905776521424368,0.8417895827233791,11,1.0,8
I-II,0,normal-vs-normal,NK cell,CD247,11,0.7821480540502783,0.6962227594502933,0.9652514152662746,11,1.0,9
I-II,0,normal-vs-normal,NK cell,KLRB1,10,0.8123961077922557,0.6626854462236739,0.9007907814645427,11,0.9090909090909091,10
I-II,0,normal-vs-normal,NK cell dividing,NKG7,8,0.9341084085474948,0.8711762007992828,0.9696535479898453,8,1.0,1
I-II,0,normal-vs-normal,NK cell dividing,TRDC,8,0.9207604848474237,0.8251652757774527,0.9884797446404778,8,1.0,2
I-II,0,normal-vs-normal,NK cell dividing,CTSW,8,0.9017617719646588,0.8166558627533209,0.950420594705688,8,1.0,3
I-II,0,normal-vs-normal,NK cell dividing,KLRD1,8,0.9014223907562068,0.792828826105096,0.965370634367465,8,1.0,4
I-II,0,normal-vs-normal,NK cell dividing,STMN1,8,0.8975406245008571,0.8530686220110285,0.9638237023267165,8,1.0,5
I-II,0,normal-vs-normal,NK cell dividing,GNLY,8,0.8959705066943926,0.7356721549872147,0.9688180856462646,8,1.0,6
I-II,0,normal-vs-normal,NK cell dividing,GZMA,8,0.888273833743906,0.8087919416855773,0.9759301497300016,8,1.0,7
I-II,0,normal-vs-normal,NK cell dividing,CCL5,8,0.8626788855521148,0.79484408736251,0.9294270608511194,8,1.0,8
I-II,0,normal-vs-normal,NK cell dividing,CD7,8,0.8546585930434009,0.695703797338532,0.9529429511912842,8,1.0,9
I-II,0,normal-vs-normal,NK cell dividing,PRF1,8,0.8460256554541125,0.6947906691496342,0.9502179855954335,8,1.0,10
I-II,0,normal-vs-normal,Neutrophils,CXCL8,6,0.9113765842133653,0.8428436583139983,0.9581761764241603,6,1.0,1
I-II,0,normal-vs-normal,Neutrophils,G0S2,6,0.9079713772010382,0.8461548846259163,0.9670343190587624,6,1.0,2
I-II,0,normal-vs-normal,Neutrophils,NAMPT,6,0.870636677126075,0.8115191905823311,0.9515821622295704,6,1.0,3
I-II,0,normal-vs-normal,Neutrophils,CSF3R,6,0.867267563435445,0.6553945920241342,0.9974325054668465,6,1.0,4
I-II,0,normal-vs-normal,Neutrophils,S100A9,6,0.831250772890178,0.6503864190877324,0.9678560133345384,6,1.0,5
I-II,0,normal-vs-normal,Neutrophils,S100A8,6,0.8254645102582003,0.6503334874682675,0.931450738276226,6,1.0,6
I-II,0,normal-vs-normal,Neutrophils,TREM1,6,0.7828174195962898,0.6703171309797941,0.8903654460340116,6,1.0,7
I-II,0,normal-vs-normal,Neutrophils,PLAUR,6,0.7827520859824452,0.6800279078645857,0.8730092018154217,6,1.0,8
I-II,0,normal-vs-normal,Neutrophils,FTH1,6,0.7506177036106437,0.6541083370763277,0.7975906813241451,6,1.0,9
I-II,0,normal-vs-normal,Neutrophils,SLC25A37,6,0.7474789063794002,0.657541430309106,0.8809351625847784,6,1.0,10
I-II,0,normal-vs-normal,Pericyte,CALD1,10,0.9523234260628677,0.9225347485685528,0.9846646981782892,10,1.0,1
I-II,0,normal-vs-normal,Pericyte,IGFBP7,10,0.9474784409415049,0.9270559170149465,0.9736987236559402,10,1.0,2
I-II,0,normal-vs-normal,Pericyte,PDGFRB,10,0.935440488053095,0.8401907655303772,0.994308562813792,10,1.0,3
I-II,0,normal-vs-normal,Pericyte,NOTCH3,10,0.9345863785776796,0.8460041776069629,0.9950936932746466,10,1.0,4
I-II,0,normal-vs-normal,Pericyte,COL4A1,10,0.9340158791825466,0.8721258987984548,0.9774328442008069,10,1.0,5
I-II,0,normal-vs-normal,Pericyte,COL4A2,10,0.9279455043463894,0.8605098906778897,0.9810475256656639,10,1.0,6
I-II,0,normal-vs-normal,Pericyte,SPARC,10,0.9268904975409662,0.8811461648401777,0.967664297691646,10,1.0,7
I-II,0,normal-vs-normal,Pericyte,MYL9,10,0.9221727301117305,0.7865505752197332,0.9579220992487048,10,1.0,8
I-II,0,normal-vs-normal,Pericyte,COL1A2,10,0.911776963845889,0.868366536498199,0.9546194180291787,10,1.0,9
I-II,0,normal-vs-normal,Pericyte,NDUFA4L2,10,0.9031959843151875,0.7481771240284467,0.9641825375658514,10,1.0,10
I-II,0,normal-vs-normal,Plasma cell,MZB1,11,0.9115363974698638,0.691917976025294,0.9999999985465998,11,1.0,1
I-II,0,normal-vs-normal,Plasma cell,JCHAIN,11,0.8964966510196448,0.7168320335469649,0.9957986843915917,11,1.0,2
I-II,0,normal-vs-normal,Plasma cell,DERL3,11,0.8751381607142528,0.6554536874828074,0.9924741763544657,11,1.0,3
I-II,0,normal-vs-normal,Plasma cell,IGKC,11,0.8560065954585082,0.7110369884043769,0.9311631631166081,11,1.0,4
I-II,0,normal-vs-normal,Plasma cell,IGHG1,11,0.7920229618159293,0.6742136667246267,0.8819033550826342,11,1.0,5
I-II,0,normal-vs-normal,Plasma cell,IGHG3,11,0.7913434184058503,0.6706850876656749,0.8896713245617298,11,1.0,6
I-II,0,normal-vs-normal,Plasma cell,IGHG4,11,0.7617636946669488,0.6547215072472035,0.8687142625690557,11,1.0,7
I-II,0,normal-vs-normal,Plasma cell,SSR4,10,0.9452639319792864,0.8413817372465746,0.997886901611274,11,0.9090909090909091,8
I-II,0,normal-vs-normal,Plasma cell,FKBP11,10,0.8929412156324016,0.7603714726745342,0.9892320632464822,11,0.9090909090909091,9
I-II,0,normal-vs-normal,Plasma cell,XBP1,10,0.8769498629526604,0.7033180150905165,0.9403099857566694,11,0.9090909090909091,10
I-II,0,normal-vs-normal,Plasma cell dividing,MZB1,6,0.988110032786936,0.964454006473952,0.9980614726536993,6,1.0,1
I-II,0,normal-vs-normal,Plasma cell dividing,SEC11C,6,0.9796035805674652,0.9596105307943164,0.9944752356961423,6,1.0,2
