sample,dataset,membership
Kim_Lee_2020_LUNG_T06,Kim_Lee_2020,2
Kim_Lee_2020_LUNG_T08,Kim_Lee_2020,2
Zilionis_Klein_2019_p4t2,Zilionis_Klein_2019,2
Zilionis_Klein_2019_p4t1,Zilionis_Klein_2019,2
Zilionis_Klein_2019_p4t3,Zilionis_Klein_2019,2
Zilionis_Klein_2019_p6t1,Zilionis_Klein_2019,2
Chen_Zhang_2020_NSCLC-2,Chen_Zhang_2020,2
Lambrechts_Thienpont_2018_6149v2_BT1299,Lambrechts_Thienpont_2018_6149v2,2
Lambrechts_Thienpont_2018_6653_BT1377,Lambrechts_Thienpont_2018_6653,2
Lambrechts_Thienpont_2018_6653_BT1376,Lambrechts_Thienpont_2018_6653,2
Kim_Lee_2020_LUNG_T25,Kim_Lee_2020,2
Laughney_Massague_2020_GSM3516663,Laughney_Massague_2020,2
P18_T2,Zuani,2
P19_T2,Zuani,2
P15_T2,Zuani,2
P16_T2,Zuani,2
Chen_Zhang_2020_NSCLC-3,Chen_Zhang_2020,2
Chen_Zhang_2020_NSCLC-7,Chen_Zhang_2020,2
Laughney_Massague_2020_GSM3516672,Laughney_Massague_2020,2
Lambrechts_Thienpont_2018_6653_BT1375,Lambrechts_Thienpont_2018_6653,2
Laughney_Massague_2020_GSM3516667,Laughney_Massague_2020,2
Chen_Zhang_2020_NSCLC-1,Chen_Zhang_2020,2
Zilionis_Klein_2019_p6t2,Zilionis_Klein_2019,2
Lambrechts_Thienpont_2018_6149v1_BT2B,Lambrechts_Thienpont_2018_6149v1,3
Lambrechts_Thienpont_2018_6149v1_BT1249,Lambrechts_Thienpont_2018_6149v1,3
Lambrechts_Thienpont_2018_6149v2_BT1298,Lambrechts_Thienpont_2018_6149v2,3
Lambrechts_Thienpont_2018_6149v2_BT1300,Lambrechts_Thienpont_2018_6149v2,3
Lambrechts_Thienpont_2018_6149v2_BT1296,Lambrechts_Thienpont_2018_6149v2,3
Zilionis_Klein_2019_p1t4,Zilionis_Klein_2019,3
Zilionis_Klein_2019_p1t3,Zilionis_Klein_2019,3
Lambrechts_Thienpont_2018_6149v1_BT2A,Lambrechts_Thienpont_2018_6149v1,3
He_Fan_2021_LUAD5,He_Fan_2021,3
Zilionis_Klein_2019_p1t2,Zilionis_Klein_2019,3
Kim_Lee_2020_LUNG_T18,Kim_Lee_2020,3
Zilionis_Klein_2019_p1t1,Zilionis_Klein_2019,3
P24_T1,Zuani,3
Laughney_Massague_2020_GSM3516669,Laughney_Massague_2020,3
Laughney_Massague_2020_GSM3516670,Laughney_Massague_2020,3
Lambrechts_Thienpont_2018_6149v1_BT1A,Lambrechts_Thienpont_2018_6149v1,3
Lambrechts_Thienpont_2018_6149v1_BT1B,Lambrechts_Thienpont_2018_6149v1,3
Lambrechts_Thienpont_2018_6149v1_BT1C,Lambrechts_Thienpont_2018_6149v1,3
Lambrechts_Thienpont_2018_6149v2_BT1297,Lambrechts_Thienpont_2018_6149v2,3
Lambrechts_Thienpont_2018_6149v2_BT1295,Lambrechts_Thienpont_2018_6149v2,3
P17_T2,Zuani,3
P17_T3,Zuani,3
P021,Deng,4
P023,Deng,4
P022,Deng,4
P018,Deng,4
P032,Deng,4
P033,Deng,4
P031,Deng,4
P028,Deng,4
P020,Deng,4
P040,Deng,4
P001,Deng,4
P008,Deng,4
P007,Deng,4
P003,Deng,4
