status,time,cluster,dataset,patient_column,patients,cells,cell_types,degs,parameters,dataset_spec,interactions
complete,I-II,2,Lambrechts_Thienpont_2018_6149v1,sample,6,3108,"['B cell', 'Club_AT2_even_1', 'Fibroblast adventitial', 'Fibroblast peribronchial', 'Macrophage', 'Macrophage alveolar', 'Mast cell', 'Monocyte classical', 'Monocyte non-classical', 'NK cell', 'Plasma cell', 'T cell CD4', 'T cell CD8 dividing', 'T cell CD8 effector memory', 'T cell CD8 naive', 'T cell CD8 terminally exhausted', 'T cell NK-like', 'T cell regulatory', 'Tumor LUAD_LUSC', 'Tumor LUAD_LUSC_mitotic_even', 'Tumor LUAD_mainly', 'cDC2']",2373,"{'auc_threshold': 0.65, 'patient_cap': 200, 'seed': 42, 'min_cells': 20, 'min_patients': 2, 'normalization': 'normalize_total_10000_log1p'}","{'dataset': 'Lambrechts_Thienpont_2018_6149v1', 'pred_name': 'Atlas', 'stage_key': 'uicc_stage', 'skip_stages': False, 'gene_feature': 'feature_name', 'obs_unique': False}",1199
complete,I-II,2,Lambrechts_Thienpont_2018_6149v2,sample,5,10010,"['AT1', 'B cell', 'Ciliated', 'Club_AT2_even_1', 'Club_Ciliated', 'Endothelial cell capillary', 'Endothelial cell venous', 'Fibroblast alveolar', 'Fibroblast peribronchial', 'Macrophage', 'Macrophage alveolar', 'Mast cell', 'Monocyte classical', 'Monocyte non-classical', 'NK cell', 'Pericyte', 'Plasma cell', 'Plasma cell dividing', 'T cell CD4', 'T cell CD4 dividing', 'T cell CD8 activated', 'T cell CD8 dividing', 'T cell CD8 effector memory', 'T cell CD8 naive', 'T cell CD8 terminally exhausted', 'T cell NK-like', 'T cell regulatory', 'Tumor LUAD_AT2_mitotic', 'Tumor LUAD_LUSC', 'Tumor LUAD_LUSC_mitotic', 'Tumor LUAD_LUSC_mitotic_even', 'Tumor LUAD_mainly', 'Tumor LUAD_mainly_AT2_low', 'Tumor LUAD_mitotic', 'cDC1', 'cDC2', 'pDC']",4302,"{'auc_threshold': 0.65, 'patient_cap': 200, 'seed': 42, 'min_cells': 20, 'min_patients': 2, 'normalization': 'normalize_total_10000_log1p'}","{'dataset': 'Lambrechts_Thienpont_2018_6149v2', 'pred_name': 'Atlas', 'stage_key': 'uicc_stage', 'skip_stages': False, 'gene_feature': 'feature_name', 'obs_unique': False}",3158
complete,I-II,2,Zilionis_Klein_2019,sample,4,5255,"['B cell', 'Club_AT2_even_1', 'Endothelial cell venous', 'Fibroblast peribronchial', 'Macrophage', 'Macrophage alveolar', 'Mast cell', 'Monocyte classical', 'NK cell', 'Neutrophils', 'Plasma cell', 'T cell CD4', 'T cell CD4 dividing', 'T cell CD8 activated', 'T cell CD8 effector memory', 'T cell CD8 terminally exhausted', 'T cell regulatory', 'Tumor LUAD_LUSC', 'Tumor LUAD_LUSC_mitotic_even', 'cDC2', 'myeloid dividing', 'pDC']",2254,"{'auc_threshold': 0.65, 'patient_cap': 200, 'seed': 42, 'min_cells': 20, 'min_patients': 2, 'normalization': 'normalize_total_10000_log1p'}","{'dataset': 'Zilionis_Klein_2019', 'pred_name': 'Atlas', 'stage_key': 'uicc_stage', 'skip_stages': False, 'gene_feature': 'feature_name', 'obs_unique': False}",1407
complete,I-II,2,Zuani_2024_NSCLC,sample,3,14943,"['AT1', 'B cell', 'B cell dividing', 'Ciliated', 'Club_AT2_even_1', 'Club_AT2_even_2', 'Club_Ciliated', 'DC mature', 'Endothelial cell venous', 'Fibroblast peribronchial', 'Macrophage', 'Macrophage alveolar', 'Mast cell', 'Monocyte classical', 'Monocyte non-classical', 'NK cell', 'NK cell dividing', 'Neutrophils', 'Plasma cell', 'Plasma cell dividing', 'T cell CD4', 'T cell CD4 dividing', 'T cell CD8 activated', 'T cell CD8 dividing', 'T cell CD8 effector memory', 'T cell CD8 naive', 'T cell CD8 terminally exhausted', 'T cell NK-like', 'T cell regulatory', 'Tumor LAUD_LUSC_AT2', 'Tumor LUAD_AT2_mitotic', 'Tumor LUAD_LUSC', 'Tumor LUAD_LUSC_mitotic', 'Tumor LUAD_LUSC_mitotic_even', 'Tumor LUAD_mainly', 'Tumor LUAD_mainly_AT2_low', 'Tumor LUAD_mainly_AT2_mitotic', 'Tumor LUAD_mitotic', 'cDC1', 'cDC2', 'myeloid dividing', 'pDC']",21253,"{'auc_threshold': 0.65, 'patient_cap': 200, 'seed': 42, 'min_cells': 20, 'min_patients': 2, 'normalization': 'normalize_total_10000_log1p'}","{'dataset': 'Zuani_2024_NSCLC', 'pred_name': 'Zuani', 'stage_key': 'stage', 'skip_stages': False, 'gene_feature': None, 'obs_unique': False}",23915
