interacting_pair,sender_cell_type,receiver_cell_type,eligible_datasets,supporting_datasets,rank_sum,ligand_deg,receptor_deg,datasets,prevalence,activity,time,cluster,activity_cluster_0,eligible_cluster_0,activity_cluster_1,eligible_cluster_1,testable_other_clusters,max_other_activity,specificity
HLA-E_CD94:NKG2C,T cell CD8 effector memory,T cell CD8 dividing,3,3.0,2.1249204948002633,False,False,Lambrechts_Thienpont_2018_6149v1;Lambrechts_Thienpont_2018_6149v2;Zuani_2024_NSCLC,1.0,0.7083068316000878,I-II,2,0.3311551835285202,7,0.0,2,2,0.3311551835285202,0.3771516480715676
HLA-E_CD94:NKG2C,cDC1,T cell CD8 dividing,2,2.0,1.2433821723713567,False,False,Lambrechts_Thienpont_2018_6149v2;Zuani_2024_NSCLC,1.0,0.6216910861856784,I-II,2,0.25117105593386185,7,0.0,1,2,0.25117105593386185,0.3705200302518165
HLA-E_KLRK1,T cell regulatory,T cell NK-like,3,2.0,1.8626145016741846,False,True,Lambrechts_Thienpont_2018_6149v1;Lambrechts_Thienpont_2018_6149v2,0.6666666666666666,0.6208715005580615,I-II,2,0.25812024579146514,7,0.0,2,2,0.25812024579146514,0.36275125476659636
CD52_SIGLEC10,NK cell,cDC1,2,2.0,1.2097464038574053,False,True,Lambrechts_Thienpont_2018_6149v2;Zuani_2024_NSCLC,1.0,0.6048732019287026,I-II,2,0.24463986581318647,7,0.0,1,2,0.24463986581318647,0.36023333611551617
CD52_SIGLEC10,T cell NK-like,cDC1,2,2.0,1.625417146975567,True,True,Lambrechts_Thienpont_2018_6149v2;Zuani_2024_NSCLC,1.0,0.8127085734877835,I-II,2,0.4529924286808028,7,0.0,1,2,0.4529924286808028,0.35971614480698066
CD52_SIGLEC10,T cell regulatory,cDC1,2,2.0,1.3630227424670056,False,True,Lambrechts_Thienpont_2018_6149v2;Zuani_2024_NSCLC,1.0,0.6815113712335028,I-II,2,0.3223211143024648,7,0.0,1,2,0.3223211143024648,0.359190256931038
HLA-E_KLRK1,B cell,T cell NK-like,3,2.0,1.8117054227728722,False,True,Lambrechts_Thienpont_2018_6149v1;Lambrechts_Thienpont_2018_6149v2,0.6666666666666666,0.6039018075909574,I-II,2,0.2448787565791215,7,0.0,2,2,0.2448787565791215,0.35902305101183585
HLA-E_CD94:NKG2C,T cell CD4,T cell CD8 dividing,3,3.0,2.0091978940594464,False,False,Lambrechts_Thienpont_2018_6149v1;Lambrechts_Thienpont_2018_6149v2;Zuani_2024_NSCLC,1.0,0.6697326313531488,I-II,2,0.3170281032834662,7,0.0,2,2,0.3170281032834662,0.35270452806968255
HLA-E_KLRK1,T cell NK-like,NK cell,3,2.0,1.8466783782534326,False,True,Lambrechts_Thienpont_2018_6149v1;Lambrechts_Thienpont_2018_6149v2,0.6666666666666666,0.6155594594178109,I-II,2,0.2634678011148326,7,0.0,2,2,0.2634678011148326,0.3520916583029783
HLA-E_KLRK1,NK cell,T cell NK-like,3,2.0,1.8487884451547711,False,True,Lambrechts_Thienpont_2018_6149v1;Lambrechts_Thienpont_2018_6149v2,0.6666666666666666,0.6162628150515904,I-II,2,0.264732243200499,7,0.0,2,2,0.264732243200499,0.35153057185109143
