Monocyte non-classical	NK cell	0.524335268165065	3.08158298878425e-09	0.879791620300371	1.91373931825954e-17	positive_significant
T cell CD8 effector memory	T cell regulatory	0.593810319720217	0	0.365732293217814	0.00830958116018349	positive_significant
cDC1	cDC2	0.526556466007497	2.69963607024692e-10	0.395281874974706	0.00409407044300051	positive_significant
Macrophage	myeloid dividing	0.5940809093238	2.23536744670128e-11	0.370269001272331	0.00748438964678008	positive_significant
Macrophage	DC mature	0.552836624101286	3.3231961182878e-08	0.249217409010982	0.0778011304446371	neither
T cell CD8 activated	T cell CD4	0.542779822815544	2.23536744670128e-11	0.369414586555762	0.00763412205077543	positive_significant
DC mature	T cell CD4 dividing	0.563970316257662	2.86478583397809e-05	0.292378598207201	0.0373450982713809	neither
Macrophage alveolar	cDC2	0.554355357184155	2.1493917756743e-13	0.200489841786546	0.158345628237481	neither
cDC2	T cell CD4	0.528091814155374	0.0018159037200859	-0.220030006277226	0.12079267878288	neither
T cell regulatory	NK cell	0.502578992860228	3.21708644968055e-06	-0.107723145704106	0.451799219195485	neither
DC mature	myeloid dividing	0.622874171091147	2.86478583397809e-05	0.454553424557145	0.000805627220038423	positive_significant
cDC2	Macrophage	0.593115268798555	0	0.352403750394501	0.0112058215498436	positive_significant
Monocyte non-classical	Monocyte classical	0.505441930313536	2.69963607024692e-10	0.376189035099608	0.00651525805602448	positive_significant
cDC2	Monocyte classical	0.57542523408914	0	0.121282315058045	0.396553534602303	neither
cDC2	Tumor Tumor ImmunoSup	0.533786967722982	0.0018159037200859	-0.110877569446722	0.438583867590672	neither
Macrophage alveolar	myeloid dividing	0.557057107319022	3.3754693262722e-07	0.173334186463743	0.223833048379301	neither
cDC1	DC mature	0.545937582257055	2.23536744670128e-11	0.262730403881183	0.0625149700400283	neither
T cell CD4 dividing	T cell CD8 naive	0.561345152047281	0.0127706473301199	-0.108402370009298	0.448935345083511	neither
cDC2	myeloid dividing	0.684625785870317	0	0.684368696252112	3.07439879519034e-08	positive_significant
T cell CD8 effector memory	T cell CD8 terminally exhausted	0.553518947196105	0	0.275233519663888	0.0506104075707299	neither
T cell regulatory	T cell CD4	0.58813306626702	0	0.460702465341279	0.000668930634536647	positive_significant
T cell CD8 activated	T cell CD8 effector memory	0.534549913981381	0	0.450690911082326	0.000903846901380526	positive_significant
T cell CD8 naive	T cell NK-like	0.537811464189378	0.0127706473301199	0.251665647797679	0.0748321559884207	neither
Mast cell	Fibroblast peribronchial	0.504533383101871	0.0018159037200859	0.106155274983229	0.458448035663107	neither
DC mature	cDC2	0.60440520115734	0	0.698443399590691	1.20988850023329e-08	positive_significant
Mast cell	cDC2	0.543872377198226	0.000237198416787265	0.158043782828989	0.268010161917734	neither
T cell CD4 dividing	T cell CD8 terminally exhausted	0.545417761714236	2.69963607024692e-10	0.146142946724856	0.306164785784504	neither
myeloid dividing	Ciliated	0.584533476455251	2.86478583397809e-05	0.13831976064144	0.333056724422845	neither
pDC	NK cell dividing	0.497477989241627	0.0018159037200859	0.0945010235329437	0.509497703004036	neither
T cell CD4 dividing	T cell CD4	0.491264753806571	0.000237198416787265	0.277204590398997	0.0489139418463528	neither
T cell CD8 terminally exhausted	T cell regulatory	0.54472037886318	0	0.277539239161689	0.048630562189706	neither
T cell CD8 effector memory	T cell CD4	0.568398730052723	0	0.287898354485605	0.0404980457078893	neither
T cell regulatory	pDC	0.568525129495754	0.0127706473301199	0.162881157895867	0.253448543544837	neither
Macrophage	Macrophage alveolar	0.549108700578522	3.08158298878425e-09	0.195138936771415	0.169983780984697	neither
DC mature	Monocyte classical	0.542436214777468	0.0018159037200859	-0.00546509212831234	0.96963884034027	neither
Macrophage alveolar	DC mature	0.539810967133003	0.0127706473301199	0.158094962439905	0.267853243026642	neither
Mast cell	Tumor Tumor ImmunoSup	0.535465645471344	3.08158298878425e-09	0.1217626030993	0.394672130163727	neither
T cell regulatory	T cell CD4 dividing	0.568263032908137	0.000237198416787265	0.411500758962532	0.00269990126724244	positive_significant
Monocyte classical	Macrophage	0.52365453507081	0	0.204045036040393	0.150943295392845	neither
T cell CD8 dividing	T cell CD8 terminally exhausted	0.543069986773275	0	0.852025351918753	2.22819439757906e-15	positive_significant
T cell CD4 dividing	pDC	0.536483058045996	0.0018159037200859	0.191605866357397	0.178001227769896	neither
T cell CD4 dividing	cDC2	0.537455459546155	3.08158298878425e-09	0.195665761681763	0.168811123192203	neither
T cell regulatory	B cell	0.532352059369813	0.0127706473301199	0.157705199263365	0.269049815412387	neither
Monocyte classical	NK cell	0.54400423696114	0	0.36159310199598	0.00913012801891926	positive_significant
T cell NK-like	NK cell	0.522480724028274	3.08158298878425e-09	0.720945479004144	2.42575704475225e-09	positive_significant
cDC1	T cell CD4 dividing	0.546132031573273	0.0127706473301199	0.010919382818378	0.939380120482869	neither
Monocyte classical	Macrophage alveolar	0.547116789800926	2.23536744670128e-11	0.175365624833531	0.218368225641472	neither
Endothelial cell venous	Fibroblast alveolar	0.534203724245301	0.000237198416787265	0.182200901363928	0.200664906939583	neither
