interacting_pair,partner_a,partner_b,gene_a,gene_b,directionality,classification,interacting_cells,significant_mean
RSPO2_LGR5,simple:Q6UXX9,simple:O75473,RSPO2,LGR5,Ligand-Receptor,Signaling by R-spondin,B cell|Fibroblast peribronchial,0.647
GJC1_GJA5,simple:P36383,simple:P36382,GJC1,GJA5,Gap-Gap,Adhesion by GAP junction,B cell|Fibroblast peribronchial,0.622
SHH_PTCH_CDON_transmembrane_receptor,simple:Q15465,complex:PTCH_CDON_transmembrane_receptor,SHH,,Ligand-Receptor,Signaling by Sonic hedgehog,B cell|Fibroblast peribronchial,0.514
RSPO3_LGR5,simple:Q9BXY4,simple:O75473,RSPO3,LGR5,Ligand-Receptor,Signaling by R-spondin,B cell|Fibroblast peribronchial,0.628
WNT2_SFRP2,simple:P09544,simple:Q96HF1,WNT2,SFRP2,Ligand-Ligand,Signaling by WNT inhibition,B cell|Fibroblast peribronchial,0.636
SHH_HHIP,simple:Q15465,simple:Q96QV1,SHH,HHIP,Ligand-Ligand,Signaling by Sonic hedgehog,B cell|Fibroblast peribronchial,0.621
OXT_OXTR,simple:P01178,simple:P30559,OXT,OXTR,Ligand-Receptor,Signaling by Oxytocin,B cell|Fibroblast peribronchial,0.661
GJC1_GJA1,simple:P36383,simple:P17302,GJC1,GJA1,Gap-Gap,Adhesion by GAP junction,B cell|Fibroblast peribronchial,0.623
RBP4_STRA6,simple:P02753,simple:Q9BX79,RBP4,STRA6,Ligand-Receptor,,B cell|Fibroblast peribronchial,0.642
AVP_OXTR,simple:P01185,simple:P30559,AVP,OXTR,Ligand-Receptor,Signaling by Vasopressin,B cell|Fibroblast peribronchial,0.625
ProstaglandinE2_byPTGES_PTGER3,complex:ProstaglandinE2_byPTGES,simple:P43115,,PTGER3,Ligand-Receptor,Signaling by Prostaglandin,B cell|Fibroblast peribronchial,0.599
IL24_IL20_receptor_Type_I,simple:Q13007,complex:IL20_receptor_Type_I,IL24,,Ligand-Receptor,Signaling by Interleukin,B cell|Fibroblast peribronchial,0.61
SHH_PTCH_GAS1_transmembrane_receptor,simple:Q15465,complex:PTCH_GAS1_transmembrane_receptor,SHH,,Ligand-Receptor,Signaling by Sonic hedgehog,B cell|Fibroblast peribronchial,0.555
IL20_IL20_receptor_Type_I,simple:Q9NYY1,complex:IL20_receptor_Type_I,IL20,,Ligand-Receptor,Signaling by Interleukin,B cell|Fibroblast peribronchial,0.523
PDGFB_PDGFR_complex,simple:P01127,complex:PDGFR_complex,PDGFB,,Ligand-Receptor,Signaling by Platelet-derived growth factor,B cell|Fibroblast peribronchial,0.612
Adrenaline_byPNMT_and_SLC18A2_ADRA2A,complex:Adrenaline_byPNMT_and_SLC18A2,simple:P08913,,ADRA2A,Ligand-Receptor,Signaling by Adrenaline,B cell|Fibroblast peribronchial,0.605
RSPO2_LGR5,simple:Q6UXX9,simple:O75473,RSPO2,LGR5,Ligand-Receptor,Signaling by R-spondin,Club_AT2/1_high|Fibroblast peribronchial,0.654
WNT2_SFRP4,simple:P09544,simple:Q6FHJ7,WNT2,SFRP4,Ligand-Ligand,Signaling by WNT inhibition,Club_AT2/1_high|Fibroblast peribronchial,0.644
GJA5_GJA5,simple:P36382,simple:P36382,GJA5,GJA5,Gap-Gap,Adhesion by GAP junction,Club_AT2/1_high|Fibroblast peribronchial,0.632
GJC1_GJA5,simple:P36383,simple:P36382,GJC1,GJA5,Gap-Gap,Adhesion by GAP junction,Club_AT2/1_high|Fibroblast peribronchial,0.632
DLL4_NOTCH3,simple:Q9NR61,simple:Q9UM47,DLL4,NOTCH3,Ligand-Receptor,Signaling by Notch,Club_AT2/1_high|Fibroblast peribronchial,0.643
