Regulator	Target	MI	pvalue
T cell NK-like	Monocyte non-classical	0.37561522261781494	0.0
Mast cell	Macrophage alveolar	0.37574981007799435	4.1714451610275205E-5
Club	Ciliated	0.32704403289644346	0.0
Mast cell	Tumor LUAD_mixed	0.2980958214895114	1.06314956838105E-12
T cell regulatory	Mast cell	0.438109272932569	0.0
Monocyte classical	Monocyte non-classical	0.2839638542014138	9.586065274902467E-10
Macrophage alveolar	transitional club/AT2	0.3146950935722185	0.0
B cell	T cell CD8 effector memory	0.6634675586062079	1.3949189286321939E-5
T cell CD4	Monocyte classical	0.381354705134064	0.0
Fibroblast peribronchial	Macrophage alveolar	0.30283625051811663	0.0
Plasma cell	T cell CD4 dividing	0.37961070489567644	0.0
T cell CD8 activated	Neutrophils	0.3002806886987936	0.0025932099545551424
Mast cell	T cell regulatory	0.451934949525023	0.0
Fibroblast peribronchial	Macrophage	0.30412753901599016	0.0
Plasma cell	Fibroblast peribronchial	0.2990736304909563	0.0
B cell dividing	B cell	0.30712018117414713	0.0
Endothelial cell venous	Smooth muscle cell	0.286469355580793	0.0
T cell CD8 dividing	T cell CD8 terminally exhausted	0.5120459855284399	0.0
Fibroblast alveolar	Endothelial cell venous	0.2930689853651151	1.8782309041398548E-11
T cell CD4 dividing	pDC	0.38738600861332884	0.0
cDC2	DC mature	0.33321682226455224	0.0
pDC	Mast cell	0.39540864763690675	0.0
Mast cell	Alveolar cell type 2	0.32860745444199463	0.0
Alveolar cell type 2	B cell	0.2873808283770425	1.3789900421556922E-7
Fibroblast adventitial	Macrophage alveolar	0.26556682424109984	1.1992327131338243E-8
Plasma cell	T cell CD8 terminally exhausted	0.3349936089155874	0.0025932099545551424
B cell	transitional club/AT2	0.31146869573249863	1.4521372131426347E-6
Alveolar cell type 2	Neutrophils	0.28634079087889963	0.0
T cell regulatory	cDC2	0.3885686707604871	0.0
T cell regulatory	cDC1	0.39051182777342497	0.0
T cell CD8 effector memory	NK cell dividing	0.29621557698096407	0.04328156460949639
