"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ENSG00000049249",1.90802489474164e-20,-4.14102178961817,0.008,0.084,1.03586671535523e-16
"ENSG00000105371",1.96259170201779e-20,2.14105937609818,0.058,0.017,1.06549103502546e-16
"ENSG00000120948",1.98213455972863e-20,0.975454790550392,0.172,0.087,1.07610085247668e-16
"ENSG00000170298",1.98417793127694e-20,3.73962135599494,0.015,0.001,1.07721019889025e-16
"ENSG00000055483",2.08733675093814e-20,-1.97039027736796,0.059,0.159,1.13321512208432e-16
"ENSG00000124102",2.10271667637187e-20,2.33273189086525,0.028,0.004,1.14156488360229e-16
"ENSG00000135241",2.37492970826406e-20,-1.62538311080136,0.072,0.177,1.28934933861656e-16
"ENSG00000075292",2.76643124593433e-20,0.6174265142769,0.271,0.158,1.50189552341775e-16
"ENSG00000198929",2.82259796623889e-20,3.1307330160283,0.018,0.002,1.53238843587109e-16
"ENSG00000135378",2.86360488667074e-20,0.891301301260592,0.1,0.04,1.55465109297355e-16
"ENSG00000172602",2.89091946831699e-20,1.03057203218476,0.12,0.052,1.5694801793493e-16
"ENSG00000143669",3.17363690299369e-20,-1.67076460020709,0.072,0.176,1.72296747463528e-16
"ENSG00000109943",3.9517256797873e-20,-5.95507136424978,0.002,0.072,2.14539187155652e-16
"ENSG00000104537",4.30460358985179e-20,3.85509857341488,0.013,0.001,2.33696928893054e-16
"ENSG00000133961",4.8393612213016e-20,0.848572360818689,0.195,0.104,2.62728920704464e-16
"ENSG00000206538",4.95244735156062e-20,2.41769326110758,0.029,0.005,2.68868366716226e-16
"ENSG00000176171",4.99356687038522e-20,0.964510819279693,0.139,0.064,2.71100745393214e-16
"ENSG00000175899",5.90450840272155e-20,-4.49173830793016,0.006,0.08,3.20555761183753e-16
"ENSG00000048828",6.25251067093516e-20,0.543445462360903,0.25,0.141,3.3944880432507e-16
"ENSG00000162191",7.34926354869884e-20,-1.09814616355758,0.218,0.329,3.9899151805886e-16
"ENSG00000149187",8.04212987343561e-20,0.469354553241304,0.299,0.178,4.36607230828819e-16
"ENSG00000105849",9.76801434091379e-20,-2.32388158631122,0.04,0.131,5.3030549856821e-16
"ENSG00000196422",1.08734491598548e-19,2.3441366541375,0.03,0.005,5.90319554888515e-16
"ENSG00000171608",1.24128770888967e-19,-2.92334365672749,0.011,0.088,6.73895097156201e-16
"ENSG00000196711",1.50296109726075e-19,5.30761077811238,0.01,0,8.15957579702862e-16
"ENSG00000176788",1.68729580675829e-19,-2.04463903861432,0.065,0.163,9.16032893489077e-16
"ENSG00000138744",1.95108546223071e-19,-2.24896623517259,0.026,0.111,1.05924429744505e-15
"ENSG00000186352",2.14119057745272e-19,-1.15816539142321,0.118,0.232,1.16245236449908e-15
"ENSG00000148200",2.25046676246074e-19,2.9780087553396,0.02,0.002,1.22177840533993e-15
"ENSG00000234883",2.28106044020222e-19,-6.04865777146951,0.001,0.068,1.23838771298578e-15
"ENSG00000102245",2.4233559425229e-19,-6.07230903953416,0.001,0.068,1.31563994119568e-15
"ENSG00000167984",2.48460730574786e-19,-5.16248315290109,0.002,0.07,1.34889330629051e-15
"ENSG00000152785",2.55658712208622e-19,2.68689825244202,0.025,0.004,1.38797114858061e-15
"ENSG00000136943",2.62079528398313e-19,2.57742371657724,0.025,0.004,1.42282975967444e-15
"ENSG00000253755",2.94633330356893e-19,-5.40405619545196,0.011,0.086,1.59956435050757e-15
"ENSG00000077942",3.8684547825604e-19,-0.211222133538763,0.049,0.013,2.10018410145204e-15
"ENSG00000171867",3.99052961483881e-19,-1.63145438822151,0.086,0.187,2.16645852789599e-15
"ENSG00000173221",4.89755471120489e-19,-1.41245206614905,0.107,0.214,2.65888245271314e-15
"ENSG00000132359",5.21988477872747e-19,1.78404882205537,0.041,0.01,2.83387544637114e-15
"ENSG00000185633",5.24039116276589e-19,2.25279634259907,0.034,0.007,2.8450083622656e-15
"ENSG00000172175",5.92783490018389e-19,-1.85886934274166,0.05,0.142,3.21822156730983e-15
"ENSG00000109861",6.29574918887577e-19,-1.28556947499884,0.27,0.37,3.41796223464065e-15
"ENSG00000241343",6.37506445908382e-19,-0.809968370193993,0.4,0.487,3.46102249483661e-15
"ENSG00000102878",7.28064238539464e-19,2.3488590643799,0.027,0.004,3.95266075103075e-15
"ENSG00000215301",9.35998887877793e-19,-0.864093846058857,0.57,0.619,5.08153796228854e-15
"ENSG00000163131",1.0138019387539e-18,-1.49276158545828,0.24,0.334,5.50393072549492e-15
"ENSG00000124104",1.05764900201557e-18,2.22865943671756,0.032,0.006,5.74197643194253e-15
"ENSG00000114013",1.06594369118719e-18,-4.69508705477594,0.003,0.069,5.78700829945523e-15
"ENSG00000120675",1.12909369369244e-18,0.470372838137573,0.295,0.178,6.12984966305628e-15
"ENSG00000171860",1.39671206352522e-18,-5.65021678272136,0.001,0.065,7.5827497928784e-15
"ENSG00000116016",1.5061387228861e-18,0.765123419747527,0.106,0.045,8.17682712654864e-15
"ENSG00000070814",1.63956553820227e-18,-2.02445064194318,0.048,0.138,8.90120130690012e-15
"ENSG00000261371",1.71035633626719e-18,-4.46964453707954,0.004,0.072,9.28552454959458e-15
"ENSG00000143185",1.78667813599445e-18,-6.59957200044406,0.002,0.067,9.69987560031389e-15
"ENSG00000180644",1.82172682069039e-18,-5.63335529009039,0.002,0.067,9.89015490952814e-15
"ENSG00000213639",1.94291274129684e-18,0.129528351636011,0.569,0.375,1.05480732725005e-14
"ENSG00000072274",1.95640751021705e-18,-1.36917767196406,0.14,0.247,1.06213363729684e-14
